score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.345,15.0,60.0,2.0,-15.0,10.0,0.1,50.0
0.293,60.0,30.0,2.0,-15.0,5.51,0.82,246.79
0.337,15.0,30.0,2.0,0.0,1.0,10.0,50.0
0.368,15.0,30.0,2.0,-8.53,10.0,0.1,50.0
0.331,15.0,30.45,2.0,-15.0,1.0,0.1,300.0
0.337,15.0,30.0,2.0,-15.0,1.0,10.0,300.0
0.382,15.0,30.0,1.55,-15.0,7.72,0.1,50.0
0.337,15.0,30.0,2.0,0.0,10.0,0.1,300.0
0.29,15.0,30.0,0.06,0.0,1.0,10.0,204.24
0.337,15.0,30.0,2.0,-1.06,1.0,10.0,167.83
0.337,15.0,30.0,2.0,0.0,1.0,2.06,145.49
