score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.364,15.63,31.38,1.85,-12.57,9.54,1.95,105.04
0.324,30.21,31.38,1.85,-12.57,8.24,1.95,58.68
0.321,15.63,31.38,0.35,-11.5,8.24,1.95,60.95
0.356,15.63,31.38,1.85,-12.57,8.24,6.41,58.68
0.319,50.38,31.38,1.85,-12.57,9.54,1.95,60.95
0.367,16.46,31.38,1.85,-12.57,9.54,1.95,58.68
0.371,15.63,31.51,1.85,-12.57,8.24,1.95,58.68
0.365,15.63,31.38,1.85,-12.57,3.6,1.95,60.95
0.368,15.63,31.38,1.85,-12.72,9.54,1.95,60.95
0.364,15.63,31.38,1.85,-12.57,4.75,1.95,58.68
0.371,15.63,31.38,1.85,-11.5,8.24,0.96,58.68
0.368,15.63,31.38,1.85,-11.5,8.92,1.95,58.68
0.338,15.63,31.38,0.65,-11.5,8.24,0.81,58.68
0.334,24.98,31.38,1.85,-11.81,8.24,0.81,58.68
0.356,15.63,31.38,1.85,-11.81,8.24,1.95,213.69
0.333,15.63,57.09,1.85,-11.81,8.24,0.81,58.68
0.358,15.63,31.38,1.85,-11.5,8.24,4.43,58.68
0.337,15.63,31.38,1.85,-2.36,8.24,1.95,58.68
0.334,15.63,31.38,1.85,-11.81,1.15,0.81,58.68
0.36,15.63,31.38,1.85,-9.23,9.54,1.95,58.68
0.361,15.63,31.38,1.85,-11.81,8.24,0.81,165.58
0.371,15.63,31.38,1.85,-11.5,5.65,0.81,58.68
0.357,15.63,31.38,1.85,-11.5,9.54,1.95,198.23
0.33,15.63,43.9,1.85,-11.81,8.24,1.95,58.68
0.327,15.63,31.38,0.53,-11.81,9.54,1.95,58.68
0.322,39.95,31.38,1.85,-11.81,8.24,1.95,58.68
0.324,15.63,31.38,0.35,-11.5,8.24,1.95,58.68
0.362,15.63,31.38,1.85,-11.81,8.24,2.38,58.68
0.335,15.63,31.38,1.85,-3.32,8.24,1.95,58.68
0.323,37.22,31.38,1.85,-11.81,9.54,1.95,58.68
0.359,15.63,31.38,1.85,-8.73,8.24,0.81,58.68
0.356,15.63,31.38,1.85,-11.81,9.54,6.69,58.68
0.351,15.63,31.38,1.85,-11.5,9.54,8.64,58.68
0.373,15.63,31.38,1.85,-10.98,9.54,0.81,58.68
0.361,15.63,31.38,1.85,-11.5,8.24,0.81,163.07
0.376,15.63,31.38,1.85,-14.57,9.54,1.95,58.68
0.321,57.92,31.38,1.85,-11.81,9.54,1.95,58.68
0.375,15.63,31.38,1.85,-11.39,9.54,0.81,58.68
0.341,15.63,31.38,1.21,-11.5,9.54,1.95,58.68
0.374,15.63,31.38,1.85,-11.5,9.68,0.81,58.68
0.375,15.63,31.38,1.85,-11.56,8.24,0.81,58.68
0.351,15.63,34.21,1.85,-11.5,8.24,1.95,58.68
0.366,15.63,31.38,1.85,-11.5,9.54,0.81,102.64
0.365,15.63,31.38,1.85,-11.5,9.54,0.81,119.92
0.372,15.63,31.38,1.85,-10.69,9.54,0.81,58.68
0.359,15.63,31.38,1.85,-11.5,9.54,4.31,58.68
0.354,15.63,31.38,1.2,-11.81,8.24,0.81,58.68
0.339,15.63,31.38,1.85,-11.5,1.3,0.81,58.68
