score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.321,15.93,54.21,1.96,-11.29,5.97,8.93,229.46
0.315,15.93,55.07,1.96,-3.92,5.67,5.16,135.1
0.312,15.93,45.77,1.91,-1.67,5.97,8.93,229.46
0.32,15.93,55.07,1.96,-7.83,5.67,5.16,229.46
0.312,15.52,54.21,1.91,-1.67,5.67,8.93,229.46
0.302,17.79,55.07,1.91,-1.67,5.67,2.07,135.1
0.303,17.79,54.21,1.96,-9.55,5.67,8.93,188.18
0.34,15.93,32.54,1.91,-1.67,5.97,5.16,229.46
0.3,17.79,55.07,1.91,-1.67,5.97,2.89,135.1
0.238,17.79,54.21,0.65,-1.67,5.97,8.93,229.46
0.32,15.93,55.07,1.96,-1.67,8.89,5.16,135.1
0.339,15.93,32.88,1.91,-1.67,5.97,8.93,229.46
0.316,15.93,55.07,1.91,-9.55,5.47,5.16,229.46
0.285,21.27,54.21,1.91,-9.55,5.67,8.93,135.1
0.307,15.93,55.07,1.91,-1.67,5.97,7.48,229.46
0.257,51.02,55.07,1.96,-9.55,5.97,5.16,229.46
0.292,17.79,55.07,1.68,-9.55,5.97,5.16,229.46
0.317,15.93,50.77,1.91,-9.55,5.97,8.93,229.46
0.309,15.93,54.21,1.91,-1.67,7.35,8.93,135.1
0.26,27.09,55.07,1.96,-1.67,5.97,8.93,229.46
0.315,15.93,55.07,1.91,-9.55,2.37,8.93,229.46
0.302,15.93,54.21,1.82,-1.67,5.97,5.16,229.46
0.301,17.79,55.07,1.91,-9.55,5.67,5.16,232.41
0.278,39.73,32.54,1.91,-1.67,5.97,8.93,229.46
0.341,15.93,32.88,1.91,-1.67,3.58,5.16,229.46
0.337,15.93,32.54,1.91,-1.67,9.72,8.93,229.46
0.338,15.93,32.88,1.91,-1.67,5.97,5.16,158.77
0.302,15.93,32.54,0.42,-1.67,5.97,8.93,229.46
0.338,15.93,32.54,1.91,-1.67,5.97,8.93,259.12
0.316,15.93,42.24,1.91,-1.67,5.97,8.93,229.46
0.345,15.93,32.54,1.91,-9.47,5.97,5.16,229.46
0.344,15.93,32.88,1.91,-8.59,5.97,5.16,229.46
0.272,39.98,32.88,1.91,-1.67,5.97,8.93,229.46
0.302,15.93,32.88,0.27,-1.67,5.97,5.16,229.46
0.296,15.93,32.88,0.42,-1.67,5.97,5.16,229.46
0.281,39.13,32.54,1.91,-1.67,5.97,5.16,229.46
0.292,15.93,32.54,0.39,-1.67,5.97,5.16,229.46
0.332,15.93,32.88,1.91,-1.67,5.97,8.93,269.64
0.338,15.93,32.88,1.91,-1.67,9.03,5.16,229.46
0.277,39.34,32.88,1.91,-1.67,5.97,5.16,229.46
0.345,15.93,32.54,1.91,-11.3,5.97,8.93,229.46
0.336,15.93,32.88,1.91,-1.67,5.97,7.72,229.46
0.34,15.93,32.88,1.91,-1.67,5.97,1.21,229.46
0.322,15.93,32.88,1.38,-1.67,5.97,5.16,229.46
0.31,15.93,32.54,0.94,-1.67,5.97,5.16,229.46
0.343,15.93,32.88,1.91,-1.67,5.97,8.93,287.04
0.324,15.93,36.21,1.91,-1.67,5.97,5.16,229.46
0.339,15.93,32.88,1.91,-1.67,5.97,9.88,229.46
0.329,15.93,32.88,1.91,-1.67,5.46,8.93,229.46
0.338,15.93,31.88,1.91,-1.67,5.97,5.16,229.46
0.304,15.93,54.7,1.91,-1.67,5.97,8.93,229.46
0.321,15.93,35.56,1.91,-1.67,5.97,5.16,229.46
0.338,15.93,32.54,1.9,-1.67,5.97,5.16,229.46
0.34,15.93,32.54,1.91,-5.6,5.97,5.16,229.46
0.331,15.93,32.88,1.91,-1.67,5.97,4.34,229.46
0.353,15.93,32.54,1.91,-13.53,5.97,5.16,229.46
0.311,15.93,52.46,1.91,-1.67,5.97,5.16,229.46
0.346,15.93,32.88,1.91,-12.63,5.97,5.16,229.46
0.335,15.93,32.88,1.91,-1.67,4.45,5.16,229.46
0.307,15.93,59.18,1.91,-1.67,5.97,5.16,229.46
0.338,15.93,32.54,1.91,-1.67,5.97,6.57,229.46
0.312,15.93,46.22,1.91,-1.67,5.97,8.93,229.46
0.307,15.93,58.78,1.91,-1.67,5.97,8.93,229.46
0.317,15.93,40.63,1.91,-1.67,5.97,8.93,229.46
0.34,15.93,32.88,1.91,-1.67,5.97,4.97,229.46
0.323,15.93,32.88,1.51,-1.67,5.97,8.93,229.46
0.355,15.93,32.54,1.91,-14.94,5.97,5.16,229.46
0.326,15.93,35.11,1.91,-1.67,5.97,5.16,229.46
0.342,15.93,32.54,1.91,-1.67,8.9,8.93,229.46
0.329,15.93,32.88,1.67,-1.67,5.97,5.16,229.46
0.341,15.93,32.54,1.91,-1.67,5.97,5.16,239.79
0.307,15.93,32.88,0.9,-1.67,5.97,8.93,229.46
0.335,15.93,32.88,1.91,-1.67,5.97,4.68,229.46
0.336,15.93,32.88,1.91,-1.67,5.97,5.16,167.14
0.342,15.93,32.54,1.91,-3.37,5.97,8.93,229.46
0.335,15.93,32.54,1.91,-1.67,5.97,8.93,120.48
0.337,15.93,32.88,1.91,-1.67,5.97,4.07,229.46
0.341,15.93,32.88,1.91,-1.67,4.71,5.16,229.46
0.283,43.63,32.54,1.91,-1.67,5.97,5.16,229.46
0.331,15.93,32.88,1.91,-1.67,3.06,5.16,229.46
0.336,15.93,32.88,1.91,-1.67,8.21,5.16,229.46
0.307,15.93,32.54,0.93,-1.67,5.97,8.93,229.46
0.316,15.93,32.54,0.69,-13.53,5.97,5.16,229.46
0.334,15.93,32.54,1.23,-14.94,5.97,5.16,229.46
0.314,15.93,32.54,0.28,-13.53,5.97,5.16,229.46
0.349,15.93,32.54,1.84,-14.94,5.97,5.16,229.46
0.347,15.93,32.54,1.91,-9.57,5.97,5.16,229.46
0.35,15.93,32.54,1.91,-14.94,5.97,5.32,229.46
0.35,15.93,32.54,1.91,-14.94,7.14,5.16,229.46
0.323,15.93,55.41,1.91,-14.94,5.97,5.16,229.46
0.354,15.93,32.54,1.91,-14.94,5.67,5.16,229.46
0.354,15.93,32.54,1.91,-13.53,5.02,5.16,229.46
0.319,15.93,32.54,0.62,-14.94,5.97,5.16,229.46
0.368,15.93,32.54,1.91,-14.94,5.97,0.1,229.46
0.351,15.93,32.54,1.91,-12.6,5.97,5.16,229.46
0.363,15.93,32.54,1.91,-14.94,5.97,5.16,164.88
0.34,15.93,32.54,1.91,-8.27,5.97,5.16,229.46
0.344,15.93,32.54,1.91,-14.94,1.85,5.16,229.46
0.292,58,32.54,1.91,-14.94,5.97,5.16,229.46
0.353,15.93,32.54,1.91,-14.94,8.3,5.16,229.46
0.291,42.98,32.54,1.91,-14.94,5.97,5.16,229.46
0.346,15.93,32.54,1.91,-8.34,5.97,5.16,229.46
0.364,15.93,30.23,1.91,-14.94,5.97,5.16,229.46
0.324,15.93,49.3,1.91,-14.94,5.97,5.16,229.46
