score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.258,15.23,40.72,1.87,-2.27,2.28,1.76,174.93
0.253,15.23,51.28,1.43,-9.37,2.28,7.43,112.85
0.24,18.21,40.72,1.87,-2.27,2.28,7.43,268.87
0.229,15.23,51.28,0.96,-2.27,2.45,6.71,268.87
0.255,15.04,40.72,1.43,-9.37,8.45,6.71,174.93
0.255,15.23,51.28,1.43,-9.37,2.28,7.43,218.52
0.249,15.23,51.28,1.87,-2.26,2.28,6.71,174.93
0.267,15.04,33.01,1.87,-2.27,2.28,6.71,268.87
0.256,15.04,51.28,1.43,-9.37,2.45,6.71,259.39
0.256,15.23,51.28,1.87,-2.27,2.81,7.43,174.93
0.254,15.23,59.03,1.87,-2.27,2.45,6.71,268.87
0.226,15.04,40.72,0.66,-2.27,2.45,6.71,174.93
0.249,15.04,51.28,1.43,-2.27,7.38,6.71,174.93
0.21,30.37,51.28,1.43,-9.37,2.45,7.43,268.87
0.272,15.23,40.72,1.87,-9.37,5.19,6.71,174.93
0.253,15.23,40.72,1.43,-2.27,9.46,7.43,268.87
0.237,15.04,57.26,1.43,-2.27,2.45,6.71,268.87
0.214,52.29,51.28,1.87,-2.27,2.45,7.43,174.93
0.22,55.01,40.72,1.87,-9.37,2.28,7.43,174.93
0.222,30.93,51.28,1.87,-9.37,2.45,7.43,174.93
0.218,15.23,40.72,0.69,-2.27,2.28,6.71,174.93
0.243,15.04,40.72,1.04,-9.37,2.45,7.43,268.87
0.241,15.23,51.28,0.73,-9.37,2.45,6.71,174.93
0.24,15.23,51.28,1.43,-2.27,2.15,6.71,268.87
0.25,15.04,40.72,1.59,-2.27,2.28,7.43,268.87
0.273,15.04,53.04,1.97,-9.37,2.28,6.71,174.93
0.219,49.15,40.72,1.87,-9.37,2.28,6.71,174.93
0.226,15.23,53.04,0.19,-9.37,2.28,6.71,174.93
0.266,15.04,40.72,1.87,-9.37,5.19,6.71,196.48
0.265,15.04,40.66,1.87,-9.37,2.28,6.71,174.93
0.268,15.04,40.72,1.87,-9.37,2.8,6.71,174.93
0.266,15.23,53.04,1.87,-9.37,2.28,6.93,174.93
0.266,15.23,53.04,1.87,-9.37,6.63,6.71,174.93
0.252,15.04,53.04,1.87,-1.27,5.19,6.71,174.93
0.266,15.23,53.04,1.87,-9.37,8.77,6.71,174.93
0.256,15.23,40.72,1.76,-9.37,2.28,6.71,174.93
0.273,15.04,40.72,1.87,-9.37,9.81,6.71,174.93
0.245,15.04,53.04,0.88,-9.37,2.28,6.71,174.93
0.27,15.04,53.04,1.87,-9.37,2.28,6.71,183.29
0.27,15.04,40.72,1.87,-9.37,4.42,6.71,174.93
0.269,15.23,40.72,1.87,-9.37,5.19,6.71,71.76
0.274,15.23,30.89,1.87,-9.37,5.19,6.71,174.93
0.219,41.7,53.04,1.87,-9.37,5.19,6.71,174.93
0.227,22.12,53.04,1.87,-9.37,2.28,6.71,174.93
0.265,15.23,53.04,1.79,-9.37,5.19,6.71,174.93
0.268,15.04,53.04,1.87,-9.37,2.28,6.71,154.47
0.269,15.23,53.04,1.87,-9.37,3.56,6.71,174.93
0.27,15.23,43.97,1.87,-9.37,5.19,6.71,174.93
0.27,15.04,53.04,1.87,-9.37,5.42,6.71,174.93
0.27,15.04,53.04,1.87,-9.37,2.26,6.71,174.93
0.261,15.04,40.72,1.87,-9.37,2.28,5.96,174.93
0.258,15.23,40.72,1.87,-1.57,2.28,6.71,174.93
0.261,15.04,38.83,1.87,-9.37,2.28,6.71,174.93
0.263,15.23,43.0,1.87,-9.37,2.28,6.71,174.93
0.269,15.04,40.85,1.87,-9.37,5.19,6.71,174.93
0.266,15.23,53.04,1.87,-4.73,5.19,6.71,174.93
0.266,15.23,49.29,1.87,-9.37,2.28,6.71,174.93
0.265,15.23,53.04,1.78,-9.37,5.19,6.71,174.93
0.216,32.17,53.04,1.87,-9.37,5.19,6.71,174.93
0.262,15.04,40.72,1.87,-9.37,2.28,6.71,184.78
0.263,15.04,53.04,1.87,-9.37,2.28,6.71,112.85
0.265,15.23,57.54,1.87,-9.37,2.28,6.71,174.93
0.244,15.04,53.04,0.88,-9.37,5.19,6.71,174.93
0.248,18.21,40.72,1.87,-9.37,5.19,6.71,174.93
0.267,15.04,53.04,1.87,-9.37,2.28,6.71,244.47
0.236,19.68,53.04,1.87,-9.37,2.28,6.71,174.93
0.265,15.23,53.04,1.87,-9.37,2.28,2.6,174.93
0.22,58.97,53.04,1.87,-9.37,5.19,6.71,174.93
0.266,15.04,53.04,1.87,-9.37,2.28,4.69,174.93
0.27,15.04,53.04,1.87,-9.37,2.81,6.71,174.93
0.265,15.23,40.72,1.87,-9.37,5.19,8.65,174.93
0.263,15.23,46.62,1.87,-9.37,5.19,6.71,174.93
0.271,15.04,53.04,1.87,-9.37,5.19,8.16,174.93
0.268,15.04,40.72,1.87,-9.37,6.13,6.71,174.93
0.267,15.04,44.43,1.87,-9.37,2.28,6.71,174.93
0.247,15.23,40.72,0.78,-9.37,5.19,6.71,174.93
0.263,15.23,53.04,1.66,-9.37,5.19,6.71,174.93
0.263,15.23,45.93,1.87,-9.37,2.28,6.71,174.93
0.263,15.04,53.04,1.87,-9.37,1.69,6.71,174.93
0.264,15.04,40.72,1.87,-9.37,2.28,6.71,194.4
0.266,15.23,40.72,1.87,-9.37,3.11,6.71,174.93
0.27,15.04,53.04,1.87,-9.15,5.19,6.71,174.93
0.253,15.04,53.04,1.15,-9.37,5.19,6.71,174.93
0.271,15.23,40.72,1.87,-9.37,7.71,6.71,174.93
0.272,15.04,40.72,1.87,-9.37,9.81,6.71,164.61
0.276,15.23,30.89,1.87,-9.37,9.81,6.71,125.93
0.221,49.15,40.72,1.87,-9.37,9.81,6.71,174.93
0.238,15.04,30.89,0.19,-9.37,5.19,6.71,174.93
0.274,15.04,30.89,1.87,-9.37,9.81,6.71,196.48
0.242,15.04,30.89,0.42,-9.37,9.81,6.71,174.93
0.266,15.23,40.72,1.87,-9.37,2.8,6.71,174.93
0.267,15.23,57.31,1.87,-9.37,9.81,6.71,174.93
0.269,15.04,40.72,1.87,-9.37,5.19,6.71,117.07
0.248,15.23,40.72,0.93,-9.37,9.81,6.71,174.93
0.23,53.49,30.89,1.87,-9.37,9.81,6.71,174.93
0.278,15.04,30.89,1.87,-9.37,5.19,6.71,79.92
0.25,15.04,40.72,1.13,-9.37,9.81,6.71,174.93
0.275,15.04,43.68,1.87,-9.37,9.81,6.71,174.93
0.269,15.04,40.41,1.87,-9.37,5.19,6.71,174.93
0.274,15.23,33.42,1.87,-9.37,5.19,6.71,174.93
0.275,15.23,40.72,1.87,-13.72,5.19,6.71,174.93
0.269,15.04,40.72,1.87,-9.37,5.19,6.71,206.45
0.276,15.04,40.72,1.87,-9.37,9.81,0.99,174.93
0.271,15.23,40.72,1.87,-9.37,5.19,1.82,174.93
0.269,15.04,56.7,1.87,-9.37,9.81,6.71,174.93
0.277,15.23,40.72,1.87,-9.37,8.12,6.71,174.93
0.225,37.55,30.89,1.87,-9.37,5.19,6.71,174.93
0.271,15.04,40.72,1.87,-9.37,3.56,6.71,174.93
0.258,15.04,40.72,1.17,-9.37,5.19,6.71,174.93
0.232,45.26,30.89,1.87,-9.37,9.81,6.71,174.93
0.234,26.5,30.89,1.87,-9.37,9.81,6.71,174.93
0.242,15.04,40.72,0.74,-9.37,9.81,6.71,174.93
0.246,15.23,30.89,0.63,-9.37,9.81,6.71,174.93
0.23,23.83,40.72,1.87,-9.37,5.19,6.71,174.93
0.272,15.23,40.72,1.87,-9.37,5.19,2.86,174.93
0.277,15.23,30.89,1.69,-9.37,9.81,6.71,174.93
0.271,15.23,40.72,1.87,-9.37,5.19,5.02,174.93
0.274,15.23,40.72,1.87,-9.37,5.19,0.71,174.93
0.237,32.17,30.89,1.87,-9.37,9.81,6.71,174.93
0.279,15.04,40.72,1.87,-9.37,9.81,3.09,174.93
0.275,15.23,30.89,1.87,-9.37,9.81,6.71,184.78
0.242,19.86,40.72,1.87,-9.37,5.19,6.71,174.93
0.265,15.23,30.89,1.41,-9.37,5.19,6.71,174.93
0.273,15.04,40.72,1.94,-9.37,9.81,6.71,174.93
0.273,15.04,40.72,1.87,-9.37,9.81,8.66,174.93
0.257,15.23,40.72,1.87,-1.4,9.81,6.71,174.93
0.267,15.23,33.21,1.87,-9.37,5.19,6.71,174.93
0.271,15.04,46.32,1.87,-9.37,9.81,6.71,174.93
0.27,15.04,40.72,1.87,-9.37,5.19,7.55,174.93
0.274,15.23,30.89,1.87,-9.37,5.19,4.78,174.93
0.232,15.23,40.72,0.45,-9.37,5.19,6.71,174.93
0.27,15.04,40.72,1.81,-9.37,5.19,6.71,174.93
0.276,15.04,30.89,1.87,-9.37,9.55,6.71,174.93
0.272,15.04,30.89,1.87,-9.37,1.66,6.71,174.93
0.274,15.23,30.89,1.87,-9.37,5.19,6.48,174.93
0.276,15.23,40.72,1.87,-9.37,9.06,6.71,174.93
0.234,30.37,30.89,1.87,-9.37,9.81,6.71,174.93
0.256,15.04,40.72,1.87,-0.57,5.19,6.71,174.93
0.275,15.04,30.89,1.87,-6.54,9.81,6.71,174.93
0.274,15.23,30.89,1.87,-9.37,5.19,6.88,174.93
0.269,15.04,40.72,1.87,-9.37,5.19,6.67,174.93
0.269,15.04,40.72,1.87,-9.37,5.19,6.71,171.93
0.268,15.23,45.93,1.87,-9.37,9.81,6.71,174.93
0.277,15.04,30.89,1.87,-9.37,5.19,3.09,164.61
0.269,15.04,38.06,1.87,-9.37,5.19,6.71,79.92
0.277,15.04,30.89,1.87,-9.37,5.19,6.71,293.54
0.275,15.04,40.72,1.87,-9.37,9.81,3.53,174.93
0.27,15.04,40.72,1.87,-9.37,5.19,7.97,174.93
0.237,15.04,40.72,0.56,-9.37,5.19,6.71,79.92
0.272,15.04,30.89,1.87,-4.34,5.19,6.71,79.92
0.278,15.04,30.89,1.87,-2.96,5.19,6.71,174.93
0.278,15.04,30.89,1.87,-8.17,9.81,3.09,174.93
0.249,15.04,40.72,0.93,-9.37,5.19,6.71,174.93
0.274,15.04,40.72,1.87,-9.37,9.81,7.87,174.93
0.276,15.04,30.89,1.87,-9.37,9.81,6.71,174.93
0.279,15.04,30.89,1.87,-9.37,4.44,3.09,79.92
0.253,18.42,40.72,1.87,-9.37,9.81,6.71,174.93
0.277,15.04,40.72,1.87,-9.37,9.81,6.71,71.76
0.236,56.85,30.89,1.87,-9.37,9.81,3.09,174.93
0.283,15.04,30.89,1.87,-9.37,9.81,1.82,174.93
0.262,15.04,30.89,1.1,-9.37,5.19,3.09,174.93
0.278,15.04,30.89,1.87,-9.37,8.12,6.71,79.92
0.278,15.04,30.89,1.87,-9.37,5.19,3.09,100.43
0.276,15.04,52.55,1.87,-9.37,5.19,3.09,174.93
0.275,15.04,40.72,1.87,-9.37,9.81,3.09,154.96
0.277,15.04,30.89,1.87,-9.37,5.19,6.71,145.89
0.277,15.04,30.89,1.86,-9.37,9.81,3.09,174.93
0.267,15.04,40.72,1.87,-3.5,5.19,6.71,79.92
0.273,15.04,40.72,1.87,-9.14,5.19,3.09,174.93
0.266,15.04,43.43,1.87,-9.37,5.19,6.71,79.92
0.273,15.04,40.72,1.87,-9.37,5.19,6.71,222.67
0.275,15.04,30.89,1.87,-9.37,9.81,2.86,174.93
0.277,15.04,30.89,1.87,-9.37,5.92,6.71,174.93
0.225,32.17,40.72,1.87,-9.37,5.19,3.09,174.93
0.283,15.04,30.89,1.87,-9.37,3.99,3.09,79.92
0.284,15.04,30.89,1.87,-9.37,9.81,1.4,174.93
0.237,19.86,40.72,1.87,-9.37,5.19,3.09,174.93
0.277,15.04,30.89,1.87,-9.37,5.19,1.51,174.93
0.268,15.04,40.72,1.87,-7.94,5.19,6.71,79.92
0.271,15.04,30.89,1.87,-1.4,9.81,3.09,79.92
0.241,15.04,40.72,0.65,-9.37,9.81,3.09,174.93
0.26,15.04,30.89,0.96,-9.37,5.19,6.71,79.92
0.279,15.04,30.89,1.87,-9.37,8.45,3.09,174.93
0.279,15.04,30.89,1.87,-9.37,5.19,3.09,218.52
0.28,15.04,33.01,1.87,-9.37,9.81,3.09,79.92
0.273,15.04,34.59,1.87,-9.37,5.19,6.71,174.93
0.268,15.04,59.03,1.87,-9.37,9.81,3.09,79.92
0.247,15.04,40.72,0.66,-9.37,9.81,3.09,174.93
0.272,15.04,46.62,1.87,-9.37,9.81,3.09,174.93
0.277,15.04,30.89,1.87,-9.37,9.81,6.71,187.31
0.226,43.94,40.72,1.87,-9.37,9.81,3.09,174.93
0.274,15.04,40.72,1.87,-9.37,9.81,3.09,204.52
0.277,15.04,30.89,1.87,-9.37,9.81,4.67,174.93
