score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.405,15.0,60.0,2.0,-15.0,8.6,0.1,50.0
0.359,15.0,30.0,2.0,-15.0,1.0,0.1,50.0
0.349,15.0,32.73,1.77,-8.22,3.03,1.72,86.1
0.417,15.0,30.0,2.0,-11.07,10.0,0.1,50.0
0.362,15.0,39.9,2.0,-15.0,7.01,0.1,256.12
0.363,15.0,30.0,2.0,-15.0,1.33,7.9,300.0
0.433,15.0,30.0,1.99,-15.0,10.0,0.1,50.0
0.359,15.0,30.0,2.0,0.0,10.0,0.13,283.98
0.319,15.0,36.42,0.91,-15.0,10.0,4.51,300.0
0.359,15.0,30.0,2.0,-15.0,1.0,10.0,50.0
0.359,15.0,30.0,2.0,0.0,1.0,3.37,98.66
