score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.29,40.0,40.0,3.0,-25.0,1.0,10.0,158.0
0.29,46.59,40.0,3.0,0.0,4.15,10.0,300.0
0.29,40.0,40.0,3.0,0.0,4.28,10.0,100.0
0.3,60.0,60.0,3.0,-25.0,3.09,1.0,100.0
0.3,40.0,60.0,3.0,-25.0,3.81,10.0,300.0
0.31,40.0,40.99,3.0,-25.0,5.0,10.0,182.0
0.3,40.0,40.0,3.0,-25.0,2.44,5.4,100.0
0.29,60.0,40.0,3.0,-25.0,3.75,10.0,300.0
0.28,60.0,60.0,3.0,-6.86,1.0,10.0,205.29
0.31,54.54,40.44,3.0,-25.0,3.71,10.0,300.0
