score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.35,40.0,46.52,3.0,-25.0,5.0,1.0,100.0
0.34,40.3,40.0,2.83,-25.0,5.0,3.82,254.78
0.32,45.69,40.0,2.14,-25.0,3.4,3.88,164.46
0.32,48.07,51.4,3.0,-24.38,2.98,1.0,130.43
0.33,55.03,40.0,3.0,-25.0,5.0,10.0,300.0
0.35,60.0,40.0,3.0,-23.81,5.0,1.0,100.0
0.35,60.0,40.0,3.0,-25.0,3.14,1.0,100.0
0.34,57.54,40.0,3.0,-22.54,3.68,3.15,206.28
0.3,45.94,40.0,2.74,0.0,4.78,8.48,156.51
0.31,60.0,40.0,2.27,-25.0,2.59,1.0,300.0
