score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.33,57.34,47.27,2.48,-0.08,4.08,8.84,167.57
0.35,57.3,58.43,2.2,-24.95,3.53,8.84,139.57
0.35,57.3,46.94,2.48,-21.79,4.08,8.84,114.24
0.35,57.34,59.38,2.2,-24.95,4.08,8.84,167.57
0.37,57.34,46.94,2.48,-24.95,3.57,7.98,167.57
0.36,57.3,46.94,2.48,-24.95,3.53,8.84,101.95
0.32,57.34,47.27,1.31,-21.79,4.08,7.98,139.57
0.36,57.3,46.94,2.48,-21.79,3.53,1.99,139.57
0.33,57.34,47.27,2.2,-18.09,4.08,7.98,167.57
0.36,57.34,47.27,2.48,-24.95,3.53,9.77,167.57
0.35,57.3,46.94,2.48,-22.06,3.53,8.84,167.57
0.35,57.3,46.94,2.48,-21.79,4.08,7.98,253.59
0.33,57.3,46.94,1.75,-21.79,4.08,8.84,167.57
0.34,57.34,47.27,2.49,-21.79,4.08,7.98,139.57
0.33,57.3,46.94,2.48,-12.5,4.08,8.84,167.57
0.35,57.3,42.44,2.2,-21.79,4.08,7.98,167.57
0.36,57.34,47.27,2.2,-24.95,4.64,7.98,167.57
0.35,57.3,46.94,2.48,-21.79,3.53,7.98,266.15
0.35,57.3,46.94,2.2,-24.95,3.53,8.84,123.91
0.36,40.56,46.94,2.48,-24.95,3.53,8.84,167.57
0.33,57.34,47.27,2.48,-6.13,3.53,7.98,139.57
0.3,57.34,47.27,1.14,-21.79,3.53,8.84,139.57
0.36,57.34,48.26,2.48,-24.95,4.08,7.98,167.57
0.34,57.34,47.27,2.48,-21.79,3.06,8.84,139.57
0.35,57.34,47.27,2.2,-24.95,4.08,8.84,135.48
0.32,57.34,46.94,0.96,-24.95,4.08,7.98,167.57
0.36,57.34,46.94,1.7,-24.95,3.57,1.82,167.57
0.35,57.34,46.94,2.48,-24.95,3.57,8.46,167.57
0.36,57.34,46.94,2.48,-24.95,3.57,8.21,167.57
0.34,57.34,46.94,2.48,-3.28,4.08,1.82,167.57
0.32,57.34,46.94,1.19,-24.95,3.57,7.98,167.57
0.37,57.34,46.94,2.48,-24.95,3.57,3.31,167.57
0.32,57.34,46.94,0.42,-24.95,4.08,1.82,167.57
0.34,57.34,46.94,2.48,-14.88,3.57,1.82,167.57
0.35,57.34,46.94,1.59,-24.95,3.57,1.82,167.57
0.37,57.34,46.94,2.48,-24.95,4.15,1.82,167.57
0.37,57.34,46.94,2.48,-24.95,3.57,1.82,183.76
0.38,57.34,58.72,2.48,-24.95,4.08,1.82,167.57
0.36,57.34,46.94,2.48,-24.95,4.08,1.82,262.71
0.33,57.34,46.94,2.48,-2.71,4.08,7.98,167.57
0.37,57.34,46.94,2.48,-24.95,3.03,1.82,167.57
0.32,57.34,46.94,2.48,-8.63,3.57,1.82,167.57
0.38,57.34,46.94,2.48,-24.95,4.49,1.82,167.57
0.36,57.34,46.94,2.48,-24.95,4.08,5.67,167.57
0.38,44.58,46.94,2.48,-24.95,3.57,1.82,167.57
0.38,56.98,46.94,2.48,-24.95,4.08,1.82,167.57
0.36,47.33,46.94,2.48,-24.95,4.08,7.98,167.57
0.35,57.34,46.94,2.25,-24.95,4.08,7.98,167.57
0.33,57.34,46.94,2.48,-0.09,3.57,7.98,167.57
0.33,57.34,46.94,1.4,-24.95,3.57,7.98,167.57
0.36,57.34,46.94,2.48,-24.95,2.98,7.98,167.57
0.36,57.34,46.94,2.48,-24.95,2.52,1.82,167.57
0.38,57.34,40.7,2.48,-24.95,4.08,1.82,167.57
0.33,57.34,46.94,2.48,-10.34,4.08,7.98,167.57
0.34,57.34,46.94,2.48,-22.71,4.08,7.98,167.57
0.37,57.34,55.54,2.48,-24.95,3.57,1.82,167.57
0.35,57.34,57.17,2.48,-24.95,3.57,7.98,167.57
0.3,57.34,46.94,0.1,-24.95,3.57,1.82,167.57
0.38,49.52,46.94,2.48,-24.95,4.08,1.82,167.57
0.35,57.34,46.94,2.48,-19.33,3.57,1.82,167.57
0.37,46.78,46.94,2.48,-24.95,3.57,1.82,167.57
0.32,57.34,46.94,2.48,-8.05,3.57,1.82,167.57
0.37,57.34,43.42,2.48,-24.95,3.57,1.82,167.57
0.34,57.34,46.94,2.48,-18.57,4.08,7.98,167.57
0.35,57.34,46.74,2.48,-24.95,4.08,7.98,167.57
0.36,57.34,46.94,2.48,-24.95,3.57,8.02,167.57
0.35,57.34,58.39,2.48,-24.95,3.57,7.98,167.57
0.37,57.34,46.94,2.48,-24.95,4.08,1.82,279.28
0.38,57.34,46.94,2.82,-24.95,4.08,1.82,167.57
0.38,54.04,46.94,2.48,-24.95,4.08,1.82,167.57
0.36,57.34,46.94,2.48,-24.95,2.82,7.98,167.57
0.37,49.14,46.94,2.48,-24.95,3.57,1.82,167.57
0.36,57.34,46.94,2.48,-24.95,3.57,8.37,167.57
0.36,57.34,46.94,2.48,-24.95,4.08,7.98,100.71
0.35,57.34,46.94,2.48,-24.95,3.01,7.98,167.57
0.37,57.34,46.94,2.48,-24.95,4.08,3.75,167.57
0.36,57.34,46.94,2.48,-24.95,3.57,7.14,167.57
0.36,57.34,48.07,2.48,-24.95,3.57,7.98,167.57
0.38,57.34,46.94,2.48,-24.95,3.89,1.82,167.57
0.34,57.34,46.94,0.87,-24.95,4.08,1.82,167.57
0.29,57.34,46.94,0.35,-24.95,3.57,7.98,167.57
