score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.36,59.38,45.02,2.45,-25.0,3.05,3.39,146.79
0.35,56.46,59.76,2.87,-2.37,1.37,5.13,200.42
0.38,40.0,60.0,3.0,-25.0,5.0,10.0,100.0
0.41,60.0,40.0,3.0,-25.0,5.0,1.0,100.0
0.41,60.0,60.0,3.0,-24.89,4.93,1.0,100.0
0.37,40.0,60.0,2.88,-25.0,5.0,6.12,100.0
0.39,40.0,40.0,3.0,-25.0,2.29,2.94,100.0
0.36,55.15,44.12,3.0,-22.76,1.0,10.0,210.04
0.34,50.83,52.28,3.0,-11.68,2.05,6.42,227.12
0.37,41.68,54.18,3.0,-23.82,3.53,6.5,229.23
