score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.29,50.78,48.86,2.8,-23.99,3.93,6.53,105.67
0.29,45.86,48.01,2.91,-23.21,4.13,5.28,125.97
0.28,55.05,49.91,2.55,-24.9,3.66,7.91,165.33
0.3,43.07,45.92,2.95,-23.82,4.35,2.47,203.82
0.29,51.44,41.55,2.93,-22.23,2.97,1.27,181.16
0.29,53.1,46.12,2.99,-22.28,3.26,2.65,159.09
0.29,40.38,54.38,2.96,-3.76,2.98,7.43,164.18
0.27,49.21,42.59,2.35,-8.22,1.2,2.62,224.95
0.28,58.09,58.77,2.86,-24.7,2.38,4.95,180.29
0.28,55.73,43.78,2.72,-21.92,2.29,3.87,299.53
