score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.33,58.85,42.96,2.48,-9.48,4.77,7.9,217.92
0.29,40.71,41.24,1.72,-23.04,1.15,2.48,297.28
0.3,40.93,50.92,1.81,-14.52,4.89,5.38,283.87
0.25,59.64,56.38,0.9,-13.57,4.53,9.66,124.98
0.26,48.9,49.18,0.62,-8.01,1.23,9.7,188.49
0.29,44.61,45.17,1.67,-11.75,4.43,1.97,281.87
0.33,59.74,46.89,2.75,-16.83,4.01,5.28,298.94
0.29,52.74,56.21,1.88,-21.54,1.73,9.25,285.18
0.28,41.51,46.75,0.41,-20.39,2.6,3.56,175.89
0.27,55.42,48.83,0.66,-11.24,4.71,9.28,268.46
0.27,44.35,50.74,1.02,-1.13,2.18,5.38,130.44
0.29,56.51,59.62,1.48,-20.29,4.31,5.22,226.36
0.33,49.61,51.56,2.98,-2.52,1.35,2.05,112.62
0.27,47.0,49.82,1.32,-7.25,3.08,8.24,209.84
0.26,53.12,43.56,0.68,-7.8,4.83,7.19,269.37
0.29,40.25,55.29,1.96,-18.51,2.7,9.6,177.46
0.27,53.59,57.32,1.27,-19.37,1.82,8.86,231.05
0.27,50.41,54.77,0.54,-21.44,2.5,3.67,173.93
0.3,47.14,45.6,1.27,-21.77,2.18,9.0,252.99
0.29,42.04,58.48,1.29,-23.66,3.48,9.83,276.83
0.24,53.4,48.0,0.28,-5.94,3.31,1.83,239.76
0.2,51.26,51.81,0.11,-9.54,3.46,8.78,183.04
0.23,47.47,56.79,0.12,-13.07,2.37,4.23,106.34
0.32,42.72,56.48,2.91,-2.58,3.43,3.67,270.72
0.28,49.85,52.74,1.58,-13.95,4.76,6.44,225.84
0.28,40.81,41.75,1.23,-1.89,2.14,5.18,252.85
0.29,49.87,43.4,0.96,-15.42,3.43,9.0,105.85
0.29,43.93,54.41,1.98,-6.94,3.63,7.6,231.97
0.3,46.67,40.53,1.93,-7.37,3.01,6.16,129.92
0.26,45.31,45.84,0.22,-20.21,2.84,9.13,156.92
0.35,51.4,46.48,2.78,-22.85,3.85,3.94,124.15
0.33,54.17,42.09,2.48,-11.73,1.73,1.21,263.44
0.31,58.37,40.64,1.04,-19.89,4.1,7.38,262.56
0.24,48.28,55.02,0.18,-15.99,4.86,3.71,128.82
0.29,52.88,51.01,1.97,-18.94,3.94,6.09,175.67
0.31,58.39,46.15,2.48,-0.9,3.47,6.65,294.16
0.33,56.69,44.45,2.46,-4.61,4.16,7.12,127.54
0.32,56.54,59.58,2.87,-9.99,2.44,4.91,199.51
0.31,59.96,50.66,2.55,-9.48,3.68,1.3,290.2
0.26,57.6,59.73,1.2,-9.49,1.8,5.27,242.37
0.31,57.98,43.27,1.66,-18.5,4.78,2.27,206.24
0.26,54.59,59.0,1.27,-14.16,3.49,8.14,175.07
0.28,56.66,40.93,0.95,-4.38,3.9,7.8,294.73
0.29,45.27,46.76,1.79,-13.35,1.03,3.42,290.57
0.29,53.37,46.09,1.25,-4.8,3.95,4.88,250.79
0.28,59.48,46.33,0.59,-17.71,4.96,8.77,121.18
0.28,42.46,55.6,1.12,-19.65,1.32,4.48,292.89
0.24,51.59,48.03,0.38,-4.05,2.77,2.84,142.52
0.33,45.36,40.49,2.46,-1.35,4.52,5.43,116.15
0.29,42.73,55.99,2.02,-6.23,1.37,7.13,294.47
0.29,45.86,55.11,1.72,-9.19,1.4,7.49,235.44
0.31,42.88,47.09,1.96,-1.41,4.44,9.16,200.47
0.31,45.52,57.71,2.46,-15.19,3.12,2.34,293.96
0.35,50.1,51.89,2.57,-24.93,4.93,1.3,221.53
0.31,58.17,44.02,1.44,-18.29,3.97,8.17,159.95
0.32,49.86,40.31,2.73,-14.08,2.68,6.94,285.37
0.31,59.99,45.72,2.28,-4.73,4.44,8.0,155.84
0.24,54.74,59.63,0.64,-23.24,1.02,2.03,266.47
0.32,41.97,46.98,2.66,-12.71,1.95,9.74,175.03
0.26,51.74,47.47,0.87,-8.21,1.25,2.76,217.68
0.33,51.4,46.48,2.78,-13.86,4.93,3.94,221.53
0.32,50.1,51.89,2.57,-24.93,1.34,1.3,221.53
0.33,50.1,51.89,2.78,-22.85,2.55,3.94,221.53
0.36,51.4,51.89,2.57,-24.93,3.35,1.3,124.15
0.37,48.64,51.89,2.78,-24.93,4.93,1.3,124.15
0.36,50.1,41.1,2.57,-22.85,3.85,1.3,124.15
0.35,50.1,46.48,2.57,-24.93,3.85,1.3,273.09
0.34,51.4,51.89,2.78,-22.85,4.71,3.94,221.53
0.36,43.59,46.48,2.78,-22.85,4.93,1.3,124.15
0.36,50.1,46.48,2.78,-22.85,3.85,2.08,124.15
0.31,51.4,51.89,2.57,-4.07,4.93,3.94,221.53
0.32,51.4,46.48,2.57,-10.92,3.85,1.3,221.53
0.29,50.1,51.89,0.36,-22.85,3.85,3.94,221.53
0.32,50.1,51.89,2.78,-22.85,1.17,3.94,221.53
0.35,51.4,51.89,2.78,-22.27,4.93,1.3,221.53
0.33,50.1,51.89,2.57,-19.11,4.93,3.94,124.15
0.35,50.1,51.89,2.78,-24.93,4.93,5.0,221.53
0.35,50.1,55.12,2.78,-24.93,3.85,3.94,124.15
0.37,50.1,46.48,2.45,-24.93,4.93,3.94,124.15
0.36,51.4,49.19,2.78,-24.93,4.93,3.94,221.53
0.32,51.4,46.48,0.96,-22.85,3.85,1.3,124.15
0.34,51.4,46.48,1.96,-24.93,3.85,3.94,124.15
0.37,43.4,46.48,2.57,-24.93,3.85,1.3,124.15
0.35,50.1,48.8,2.57,-22.85,4.93,1.3,221.53
0.35,46.56,51.89,2.57,-22.85,4.93,1.3,221.53
0.35,50.1,51.89,2.78,-24.93,3.85,1.67,221.53
0.33,51.4,55.86,2.57,-22.85,3.85,3.94,124.15
0.35,50.1,51.89,2.78,-24.93,3.85,3.94,139.15
0.35,51.4,46.97,2.57,-22.85,4.93,3.94,124.15
0.36,51.4,46.48,2.78,-24.93,4.93,2.7,221.53
0.36,51.4,46.48,2.57,-22.85,3.66,1.3,221.53
0.35,51.4,46.48,2.78,-22.85,3.85,2.02,221.53
0.3,50.1,51.89,2.57,-7.82,3.85,3.94,124.15
