score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.38,60.0,46.37,2.79,-25.0,2.91,2.09,102.5
0.36,43.06,40.0,3.0,0.0,4.14,10.0,300.0
0.38,40.0,60.0,3.0,-25.0,5.0,10.0,100.0
0.4,60.0,60.0,3.0,-25.0,4.73,1.0,100.0
0.37,44.61,59.9,3.0,-23.17,5.0,1.0,201.31
0.37,40.0,60.0,3.0,-23.98,5.0,10.0,100.0
0.39,60.0,40.0,3.0,-25.0,5.0,1.0,300.0
0.35,50.62,46.33,3.0,-25.0,1.0,10.0,300.0
0.35,60.0,60.0,2.75,-0.88,1.0,10.0,264.32
0.38,60.0,58.17,3.0,-25.0,5.0,10.0,100.0
