score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.2,58.6,47.34,2.17,-24.62,2.16,5.23,236.91
0.15,55.88,44.71,0.89,-7.09,2.61,3.79,104.54
0.16,59.25,48.42,1.72,-3.15,4.96,8.49,211.79
0.14,50.47,55.02,0.73,-16.01,2.91,6.26,165.74
0.18,47.99,44.41,0.87,-23.46,3.41,8.63,270.72
0.15,49.49,40.96,0.64,-6.82,3.13,6.51,202.39
0.16,52.24,52.82,1.63,-1.61,2.39,4.14,194.43
0.2,47.14,41.35,1.96,-17.69,2.37,3.08,275.86
0.18,43.74,48.58,2.2,-13.33,3.19,3.48,244.36
0.15,50.39,42.33,1.09,-12.49,1.8,8.3,208.78
0.16,59.19,48.01,1.68,-6.8,1.39,9.95,258.91
0.13,40.44,56.22,0.62,-10.13,1.62,1.9,224.84
0.14,46.66,44.25,0.83,-1.53,3.08,9.85,148.72
0.2,56.12,43.05,2.69,-11.62,3.81,3.41,197.95
0.22,56.24,50.42,2.85,-20.26,3.05,5.97,184.66
0.16,40.33,44.69,1.34,-7.53,1.06,6.3,131.88
0.22,51.79,54.91,2.65,-23.0,3.42,5.04,165.91
0.14,46.04,56.82,1.36,-5.17,1.93,2.95,184.34
0.2,49.31,50.55,2.73,-12.92,1.73,5.36,228.78
0.18,49.22,43.87,2.14,-24.36,1.14,2.16,273.53
0.22,58.52,54.29,2.8,-24.51,2.92,7.95,273.15
0.16,48.22,54.14,1.7,-14.84,3.9,8.47,224.77
0.18,58.79,48.62,2.3,-4.32,3.56,5.72,188.98
0.18,43.44,44.61,2.22,-1.58,1.13,5.82,140.26
0.2,56.82,43.27,2.62,-9.96,2.56,5.2,238.94
0.14,50.99,56.03,1.41,-10.58,4.15,1.61,276.25
0.15,42.03,45.05,0.5,-16.82,3.3,5.67,276.04
0.21,55.32,43.16,2.86,-7.99,2.5,1.28,285.33
0.19,47.03,51.19,2.69,-6.53,1.22,2.86,251.93
0.2,43.87,47.59,2.82,-1.97,2.12,1.78,292.25
0.16,44.86,45.44,1.52,-2.18,3.05,6.58,246.85
0.13,59.09,42.66,0.33,-15.25,2.05,8.75,112.61
0.17,46.77,54.43,1.43,-16.08,4.54,3.45,138.05
0.13,46.86,42.69,0.41,-8.64,3.33,5.17,209.73
0.18,41.65,49.88,2.04,-1.06,2.61,2.66,259.54
0.12,51.65,51.09,0.4,-7.66,1.16,5.73,210.88
0.19,40.54,58.95,2.73,-15.97,3.76,9.89,277.7
0.13,44.82,51.85,0.61,-5.89,4.11,3.02,222.08
0.18,59.42,49.27,2.14,-15.44,2.93,1.61,215.65
0.15,47.65,59.94,1.64,-9.87,3.55,7.35,232.89
0.14,50.07,55.52,1.45,-7.06,2.5,8.44,277.64
0.15,45.49,54.04,0.12,-24.44,3.01,8.57,258.1
0.23,58.96,40.13,2.71,-24.25,1.76,3.84,276.54
0.21,45.55,46.83,2.15,-24.11,4.18,5.38,214.42
0.14,57.62,45.73,0.65,-6.11,3.78,4.99,295.44
0.18,51.33,53.62,2.37,-8.5,2.59,3.95,224.48
0.12,44.91,58.06,0.52,-4.4,2.05,5.07,186.84
0.16,42.46,45.5,1.28,-13.85,1.7,9.56,219.13
0.18,48.88,57.23,0.66,-24.7,3.25,1.32,202.58
0.13,53.92,54.28,0.69,-2.46,2.24,8.41,277.21
0.19,53.03,59.25,2.81,-7.5,2.16,9.11,263.6
0.16,43.51,50.99,1.71,-9.17,2.72,5.05,144.41
0.12,48.31,42.17,0.15,-9.18,4.84,9.97,216.23
0.13,58.93,52.79,0.36,-15.04,3.89,3.19,176.13
0.19,54.67,41.58,2.42,-1.52,1.69,2.2,172.54
0.13,58.55,59.02,0.96,-15.44,1.04,3.48,109.4
0.19,41.86,59.79,2.71,-0.98,2.1,5.15,232.96
0.18,53.6,51.6,2.07,-16.41,4.99,7.03,165.25
0.15,59.58,42.93,0.4,-20.82,2.14,4.12,133.98
0.2,42.73,53.72,2.8,-10.15,1.9,3.14,237.87
0.23,58.96,40.13,2.8,-24.51,2.92,6.94,276.54
0.22,58.96,54.29,2.8,-24.51,2.92,4.37,276.54
0.23,58.52,40.13,2.71,-24.25,2.92,7.75,276.54
0.22,58.52,40.13,2.71,-21.77,1.76,3.84,273.15
0.21,58.96,54.29,2.8,-24.51,1.76,4.88,273.15
0.19,58.52,54.29,2.71,-24.25,1.13,7.95,276.54
0.24,58.96,40.13,2.8,-24.51,2.92,2.17,273.15
0.23,47.76,40.13,2.71,-24.25,1.76,7.95,276.54
0.25,58.52,40.13,2.8,-24.25,2.91,7.95,273.15
0.22,40.3,40.13,2.71,-24.51,1.76,7.95,276.54
0.22,44.55,54.29,2.71,-24.51,2.92,3.84,273.15
0.22,57.14,54.29,2.8,-24.51,2.92,7.95,273.15
0.24,58.52,40.13,2.8,-24.25,2.92,5.15,273.15
0.21,58.52,54.29,2.8,-24.25,1.76,4.21,276.54
0.19,58.96,54.29,2.18,-24.25,1.76,3.84,273.15
0.21,58.52,58.68,2.8,-24.51,1.76,3.84,273.15
0.21,58.96,54.58,2.71,-24.25,2.92,7.95,276.54
0.21,58.96,54.29,2.8,-22.7,2.92,7.95,273.15
0.23,58.96,40.13,2.8,-24.51,1.76,4.24,273.15
0.23,56.03,40.13,2.71,-24.25,1.76,3.84,276.54
0.23,58.52,40.13,2.8,-24.51,2.83,7.95,273.15
0.21,58.52,40.13,2.71,-24.51,1.29,7.95,276.54
0.21,58.52,40.13,2.71,-8.69,1.76,7.95,273.15
0.22,58.96,54.29,2.8,-22.16,2.92,7.95,276.54
0.19,58.96,54.29,1.9,-24.25,2.92,3.84,273.15
0.22,58.52,54.29,2.71,-24.25,2.92,7.95,267.25
0.2,58.52,54.29,2.71,-22.96,1.76,7.95,273.15
0.21,58.52,40.13,2.8,-6.78,2.92,7.95,273.15
0.23,58.96,54.29,2.71,-24.51,2.92,1.11,273.15
0.2,58.52,40.13,1.45,-24.25,2.92,3.84,273.15
0.21,58.96,48.6,2.71,-24.25,1.76,7.95,276.54
0.23,58.96,40.13,2.8,-24.25,1.76,3.84,153.03
0.21,58.52,40.13,2.71,-21.81,1.76,7.95,273.15
0.21,58.52,40.13,2.8,-14.7,1.76,3.84,276.54
0.21,58.96,54.29,2.8,-24.51,1.76,3.84,103.13
0.2,58.96,54.29,2.71,-16.53,1.76,3.84,273.15
