score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.35,40.0,49.36,3.0,-25.0,5.0,1.0,100.0
0.34,50.99,40.0,3.0,-25.0,5.0,2.18,269.99
0.31,41.12,40.0,1.97,-25.0,3.85,2.31,182.17
0.33,57.88,40.0,2.87,-24.96,2.33,1.0,120.09
0.33,60.0,40.0,3.0,-25.0,5.0,10.0,300.0
0.33,40.0,40.0,3.0,-25.0,2.78,1.0,191.69
0.35,60.0,40.0,3.0,-25.0,4.33,2.84,100.0
0.34,40.0,40.0,3.0,-25.0,5.0,6.85,230.03
0.32,44.66,40.0,3.0,0.0,5.0,9.85,135.71
0.28,60.0,41.43,0.1,-25.0,5.0,1.0,167.49
