Instruments,Intervals,rating_stimulus,rating_score,HAAQI
piano,C4G4,32k,936,0.5623124915029551
piano,C4G4,96k,1024,0.9013674129419798
piano,C4G4,96k_ak_EQ,858,0.4350676868002055
piano,C4G4,96k_muk_EQ,697,0.5647014432739156
piano,C4G4,wav,991,1.0
piano,C4G4,wav_ak_EQ,890,0.4783698334410703
piano,C4G4,wav_muk_EQ,746,0.5964290708463725
pipeorgan,C3A#3,32k,592,0.5674472192356302
pipeorgan,C3A#3,96k,973,0.9094201374857185
pipeorgan,C3A#3,96k_ak_EQ,461,0.616804467755239
pipeorgan,C3A#3,96k_muk_EQ,938,0.6675864469488182
pipeorgan,C3A#3,wav,1156,1.0
pipeorgan,C3A#3,wav_ak_EQ,532,0.6798901924040228
pipeorgan,C3A#3,wav_muk_EQ,850,0.7319098901875178
pipeorgan,C3C#3,32k,741,0.7134658814382435
pipeorgan,C3C#3,96k,900,0.9719050595840012
pipeorgan,C3C#3,96k_ak_EQ,732,0.8287897368004763
pipeorgan,C3C#3,96k_muk_EQ,887,0.768534191548886
pipeorgan,C3C#3,wav,906,1.0
pipeorgan,C3C#3,wav_ak_EQ,698,0.8348799018391417
pipeorgan,C3C#3,wav_muk_EQ,724,0.7822556953492067
pipeorgan,C3F#3,32k,568,0.5924673632589494
pipeorgan,C3F#3,96k,1032,0.9650423289045061
pipeorgan,C3F#3,96k_ak_EQ,603,0.674129959388171
pipeorgan,C3F#3,96k_muk_EQ,808,0.7787250969797579
pipeorgan,C3F#3,wav,1126,1.0
pipeorgan,C3F#3,wav_ak_EQ,627,0.6996069852801199
pipeorgan,C3F#3,wav_muk_EQ,695,0.8039934501968502
pipeorgan,C3G3,32k,587,0.3734633278680298
pipeorgan,C3G3,96k,1010,0.8802616627708468
pipeorgan,C3G3,96k_ak_EQ,466,0.4400313107518435
pipeorgan,C3G3,96k_muk_EQ,896,0.5919667021179269
pipeorgan,C3G3,wav,988,1.0
pipeorgan,C3G3,wav_ak_EQ,560,0.47136645126595866
pipeorgan,C3G3,wav_muk_EQ,864,0.6808609007401805
pipeorgan,C4A#4,32k,481,0.38103913052193317
pipeorgan,C4A#4,96k,1121,0.6351475010332719
pipeorgan,C4A#4,96k_ak_EQ,491,0.3389956587689352
pipeorgan,C4A#4,96k_muk_EQ,876,0.4530290844930568
pipeorgan,C4A#4,wav,1205,1.0
pipeorgan,C4A#4,wav_ak_EQ,618,0.44767548896760156
pipeorgan,C4A#4,wav_muk_EQ,947,0.5745906073804052
pipeorgan,C4C#4,32k,555,0.5914141407093126
pipeorgan,C4C#4,96k,986,0.9755460944011088
pipeorgan,C4C#4,96k_ak_EQ,412,0.6630068858829992
pipeorgan,C4C#4,96k_muk_EQ,711,0.7184706404552903
pipeorgan,C4C#4,wav,1083,1.0
pipeorgan,C4C#4,wav_ak_EQ,436,0.685981629471
pipeorgan,C4C#4,wav_muk_EQ,710,0.7507662248691376
pipeorgan,C4F#4,32k,484,0.41647667908401864
pipeorgan,C4F#4,96k,1182,0.7592230648998629
pipeorgan,C4F#4,96k_ak_EQ,563,0.3975667125332506
pipeorgan,C4F#4,96k_muk_EQ,811,0.5950401895498456
pipeorgan,C4F#4,wav,1059,1.0
pipeorgan,C4F#4,wav_ak_EQ,496,0.4510736193986852
pipeorgan,C4F#4,wav_muk_EQ,823,0.6998163446485892
pipeorgan,C4G4,32k,360,0.33935244411632015
pipeorgan,C4G4,96k,1095,0.6784850374407604
pipeorgan,C4G4,96k_ak_EQ,470,0.2140865619919145
pipeorgan,C4G4,96k_muk_EQ,849,0.48480197581216444
pipeorgan,C4G4,wav,1116,1.0
pipeorgan,C4G4,wav_ak_EQ,668,0.23888091181154805
pipeorgan,C4G4,wav_muk_EQ,874,0.572638670123457
