PEAQ_B
1.028625
1.1033125
1.0608125
1.0368125
1.25
1.163
1.123625
1.0383125
1.1123750000000001
1.065875
1.035625
1.25
1.179125
1.111125
1.034625
1.093875
1.0503125
1.0289375
1.25
1.161375
1.1191875
1.0298125
1.098
1.0496875
1.041
1.25
1.1219375
1.1175
1.0145625
1.1105625
1.068375
1.037
1.25
1.1495625
1.10825
1.0263125
1.1275
1.072125
1.0605
1.25
1.1456875
1.1330625
1.021875
1.1089375
1.0530625
1.0438749999999999
1.25
1.143375
1.1391875
1.022
1.1023125
1.050125
1.03725
1.25
1.126625
1.111125
1.1143125
1.1580625
1.058625
1.0098125
1.25
1.1413125
1.0186250000000001
1.11525
1.1440625
1.0565
1.008
1.25
1.1175
1.25
1.1213125
1.1526875
1.0785
1.0143125
1.25
1.14025
1.25
1.1203750000000001
1.154
1.0676875
1.0265625
1.25
1.1600625
1.0286875
1.102875
1.142
1.1068125
1.013125
1.25
1.2019375
1.0605
1.095125
1.125
1.0910625
1.013
1.25
1.1845625
1.0553124999999999
1.1015
1.153125
1.0935625
1.0120625
1.25
1.1949375
1.0435
1.0999375
1.155
1.1095
1.012
1.25
1.17825
1.02675
1.077625
1.1795
1.1019375
1.070625
1.25
1.1320000000000001
1.118375
1.07775
1.1345
1.085625
1.0280624999999999
1.25
1.1671875
1.0783125
1.079125
1.1584375
1.0984375
1.0305625
1.25
1.1501875
1.068375
1.0699375
1.1518125000000001
1.0811250000000001
1.062875
1.25
1.1148125
1.1305
1.0460625000000001
1.1865625
1.0668125
1.058875
1.25
1.1485
1.1124375
1.0525625
1.154625
1.0829374999999999
1.0614375
1.25
1.1123750000000001
1.123375
1.0598125
1.2069375
1.0856875
1.070875
1.25
1.09825
1.09125
1.0591875
1.202125
1.0863125
1.0586875
1.25
1.0978125
1.0744375
