score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.198,59.0,40.61,0.29,-24.3,3.66,2.98,215.28
0.192,55.91,46.64,0.81,-6.86,2.9,2.34,117.49
0.249,54.74,57.21,2.68,-12.25,1.61,3.03,190.7
0.189,57.04,53.0,0.9,-6.1,2.74,9.84,185.75
0.26,56.74,40.29,2.18,-15.04,3.0,2.79,285.9
0.221,43.99,51.23,1.83,-3.54,2.87,8.47,204.78
0.246,59.13,54.33,2.75,-1.44,4.21,2.1,124.89
0.236,52.32,45.42,1.22,-20.65,4.05,8.69,126.56
0.256,50.34,47.9,2.39,-13.38,3.92,6.09,295.65
0.233,48.39,59.75,1.3,-20.43,4.13,3.45,213.15
0.151,52.92,43.99,0.2,-0.32,4.27,2.11,269.59
0.247,45.16,44.95,2.34,-6.07,4.38,2.23,249.52
0.235,49.4,46.52,2.23,-3.87,2.29,2.39,298.34
0.28,58.38,45.8,2.46,-22.76,4.65,7.97,139.37
0.203,45.91,51.91,1.13,-6.59,3.37,2.86,222.02
0.176,40.28,42.23,0.57,-16.16,1.05,9.37,147.9
0.262,45.41,47.51,2.83,-16.2,2.72,3.69,295.25
0.243,47.3,41.67,2.01,-7.08,2.49,2.9,181.85
0.248,48.78,59.91,2.59,-9.48,1.78,7.19,251.8
0.209,41.51,47.59,1.05,-10.74,3.61,2.63,193.93
0.228,59.84,40.32,1.18,-16.64,2.62,8.82,187.66
0.233,57.66,51.51,1.33,-18.69,4.29,6.8,142.45
0.274,42.6,42.51,2.74,-14.92,4.28,9.06,145.27
0.27,40.65,43.61,2.34,-24.61,3.26,2.72,253.33
0.191,49.59,50.98,0.95,-13.59,1.18,8.29,281.5
0.274,55.05,49.91,2.55,-24.9,3.66,7.91,165.33
0.264,57.13,40.0,1.93,-17.47,3.51,3.26,141.96
0.173,52.52,49.94,0.64,-2.85,4.53,5.95,241.22
0.246,49.03,56.03,2.52,-5.9,1.97,1.22,231.65
0.256,48.23,57.89,2.59,-11.66,2.51,7.42,241.87
0.234,53.65,56.85,1.77,-12.1,3.07,9.0,173.35
0.167,56.84,50.1,0.35,-13.78,2.16,5.75,270.66
0.228,43.59,49.5,1.79,-5.75,4.76,5.96,284.32
0.244,46.73,55.29,2.31,-11.22,1.7,4.48,158.17
0.266,59.34,52.89,2.74,-17.6,2.72,6.11,170.95
0.145,49.13,51.99,0.18,-16.5,1.0,5.34,221.6
0.243,41.86,44.84,2.43,-3.99,2.55,8.33,155.43
0.203,54.12,50.91,1.38,-8.59,1.05,2.46,158.76
0.232,53.61,54.12,2.07,-5.81,1.32,1.95,271.07
0.214,47.14,51.37,1.56,-9.33,1.31,7.93,124.68
0.221,53.63,48.04,1.53,-8.21,2.48,1.41,292.84
0.219,50.45,54.84,1.64,-4.51,3.26,2.1,228.38
0.228,43.45,56.47,2.08,-1.5,3.52,3.03,211.43
0.203,55.44,54.24,1.09,-8.62,4.74,7.16,173.46
0.259,58.22,56.55,2.58,-22.33,2.16,8.11,154.96
0.249,41.47,53.67,2.42,-8.96,2.38,6.04,104.3
0.165,51.25,57.14,0.33,-15.42,1.66,4.42,102.6
0.224,56.56,49.92,1.36,-9.96,4.4,3.62,153.5
0.202,40.99,45.33,0.29,-23.96,3.21,2.65,114.85
0.164,58.33,42.97,0.38,-0.73,3.67,7.53,212.64
0.213,41.41,56.84,1.31,-15.19,1.54,2.02,204.45
0.225,51.37,50.37,1.88,-3.06,3.02,4.41,151.31
0.24,46.14,51.22,2.41,-13.97,1.16,2.69,118.13
0.239,46.67,53.69,1.81,-8.45,2.82,1.99,159.25
0.18,50.22,49.94,0.81,-4.37,2.73,8.61,153.1
0.259,58.84,42.24,2.33,-24.5,1.95,8.83,170.02
0.268,58.65,58.59,2.42,-15.1,4.43,5.11,125.23
0.162,57.04,56.32,0.49,-3.34,3.08,7.69,153.64
0.237,44.31,56.97,1.84,-21.31,2.46,8.73,193.66
0.264,46.74,46.82,2.49,-13.64,4.79,3.81,251.3
0.163,45.71,55.36,0.15,-21.75,2.04,8.83,164.5
0.236,49.67,42.14,1.74,-22.6,1.57,8.21,148.78
0.2,41.23,52.04,0.52,-23.68,4.32,4.57,273.1
0.185,54.88,44.02,0.35,-20.72,2.98,4.22,266.4
0.211,49.38,51.09,1.22,-6.13,3.76,7.17,254.32
0.264,47.97,42.38,2.47,-16.36,3.77,9.9,240.35
0.27,58.13,40.27,1.85,-22.57,4.49,9.64,106.83
0.226,42.67,56.66,2.09,-0.46,4.03,6.35,207.85
0.23,40.2,55.68,1.21,-22.33,3.19,4.33,221.17
0.223,40.33,43.3,1.67,-9.75,1.33,6.73,268.24
0.251,45.74,50.43,2.73,-7.43,1.83,9.7,168.42
0.238,56.48,49.05,2.39,-1.98,4.61,8.24,164.59
0.199,58.25,43.07,0.85,-8.84,3.99,1.45,153.77
0.142,47.38,56.94,0.11,-2.75,2.34,6.55,287.15
0.185,41.23,50.91,0.74,-7.44,4.27,3.22,271.98
0.185,43.55,49.6,0.48,-17.31,2.5,7.26,163.37
0.242,50.59,53.03,2.38,-17.66,1.23,3.13,209.19
0.258,57.55,53.15,1.86,-24.21,2.99,3.98,169.48
0.189,59.19,43.27,0.36,-17.37,3.57,3.43,241.16
0.27,53.9,48.76,2.52,-16.91,3.49,5.86,114.34
0.259,46.94,51.26,2.93,-5.41,2.92,2.77,153.99
0.216,40.85,51.63,1.33,-8.54,3.13,4.75,170.41
0.168,40.81,59.66,0.32,-24.36,1.86,2.23,258.89
0.144,43.03,46.8,0.14,-1.71,2.28,8.59,292.39
0.216,54.55,45.21,1.53,-5.43,3.79,8.45,208.91
0.174,53.15,47.26,0.66,-7.57,1.01,8.05,101.45
0.168,52.34,51.89,0.41,-10.19,4.03,5.82,234.55
0.276,54.17,44.12,2.79,-16.81,3.33,1.93,299.28
0.238,53.08,49.24,1.74,-24.32,1.96,9.77,116.21
0.24,42.83,51.46,2.34,-3.68,4.44,7.84,169.53
0.194,51.63,56.26,0.5,-22.96,2.83,3.79,100.75
0.268,50.34,47.46,2.66,-16.65,3.65,6.11,159.93
0.186,49.35,47.35,0.79,-22.8,1.21,3.0,116.66
0.209,43.01,42.5,1.18,-19.05,1.02,1.3,298.01
0.247,44.9,40.82,1.92,-11.21,2.56,7.6,287.4
0.228,47.93,47.51,1.59,-19.14,1.7,4.5,235.4
0.273,40.3,42.77,2.44,-16.7,3.24,1.5,210.15
0.22,40.55,44.15,1.4,-11.9,1.5,5.13,256.1
0.211,54.12,47.38,1.54,-5.02,2.05,2.26,293.8
0.234,57.46,57.48,1.48,-24.12,3.97,8.11,293.03
0.207,40.72,56.26,1.08,-8.34,4.6,3.26,298.69
0.221,40.76,42.29,1.49,-7.03,4.71,8.63,294.1
0.232,48.83,48.13,1.81,-7.7,4.61,6.33,281.19
0.28,48.31,55.43,2.99,-23.03,3.83,9.13,278.9
0.227,57.46,45.57,1.28,-12.3,4.88,3.39,232.1
0.267,55.2,42.93,2.62,-12.37,4.83,9.01,289.49
0.239,43.66,56.69,2.6,-1.32,3.6,4.32,217.38
0.257,43.16,59.92,2.19,-16.51,4.68,7.41,166.62
0.246,58.59,46.49,1.03,-24.26,3.8,1.97,109.73
0.147,53.12,59.37,0.29,-6.0,1.91,8.75,102.43
0.216,43.88,59.5,1.77,-21.71,1.02,4.68,186.89
0.168,50.66,53.62,0.55,-17.04,1.21,9.97,184.77
0.165,53.57,45.71,0.51,-20.16,1.06,7.19,297.94
0.259,41.83,43.3,2.42,-9.09,4.79,4.28,185.61
0.185,45.73,56.09,0.64,-15.5,3.64,9.22,262.57
0.26,41.7,57.28,2.39,-13.23,3.22,4.99,111.09
0.243,46.41,58.26,1.84,-22.55,3.21,6.57,262.25
0.275,51.63,44.03,2.91,-17.59,3.9,7.19,284.66
0.147,55.3,47.75,0.24,-8.59,1.05,1.47,104.63
0.167,51.46,55.75,0.3,-17.02,2.52,9.09,229.27
0.237,48.1,58.44,2.09,-8.19,3.85,5.88,193.5
0.215,59.45,51.44,1.28,-22.66,1.77,9.85,292.34
0.272,40.06,41.56,2.07,-19.55,3.65,2.89,179.37
0.27,46.52,44.93,2.35,-17.4,4.66,2.7,278.99
0.294,43.07,45.92,2.95,-23.82,4.35,2.47,203.82
0.231,59.16,42.38,1.19,-12.3,3.61,4.03,149.75
0.274,58.16,40.16,2.95,-21.27,1.92,7.58,250.61
0.22,50.26,40.43,0.75,-19.8,4.57,5.13,253.49
0.263,58.12,47.86,2.78,-7.99,3.42,5.06,188.42
0.223,46.48,45.58,1.51,-14.81,2.05,1.66,294.65
0.27,51.45,46.72,2.54,-12.82,4.34,2.48,129.12
0.263,44.71,57.2,2.32,-16.8,4.73,8.74,177.62
0.254,52.0,59.7,2.15,-20.06,3.39,9.02,206.47
0.203,49.35,54.91,1.42,-9.17,1.03,7.87,292.21
0.22,56.9,56.33,1.47,-6.62,2.96,2.02,106.71
0.207,46.96,56.73,1.46,-22.22,1.13,5.75,149.68
0.232,52.77,45.91,1.39,-21.47,2.62,6.12,206.09
0.241,42.04,57.2,2.17,-21.28,1.44,2.56,182.05
0.248,44.9,44.57,1.92,-22.01,1.85,9.23,123.54
0.263,44.46,58.17,2.37,-13.79,4.88,3.94,218.74
0.184,44.07,49.18,0.81,-6.98,1.74,8.97,279.39
0.235,55.37,57.72,0.98,-23.71,4.63,6.19,108.79
0.247,55.52,46.43,2.86,-0.38,3.41,9.17,171.41
0.249,45.49,54.6,1.72,-24.38,2.39,1.08,161.81
0.261,49.35,47.24,1.62,-24.26,4.8,2.9,116.82
0.189,52.12,53.42,1.03,-2.11,1.62,2.55,268.73
0.257,48.98,51.2,2.33,-13.11,4.56,3.02,197.91
0.243,43.4,44.76,1.88,-9.95,2.53,1.08,189.66
0.216,45.39,59.91,1.78,-2.86,3.77,1.82,198.14
0.159,58.99,50.63,0.51,-5.94,4.11,7.61,232.14
0.192,57.02,48.61,1.09,-2.61,1.34,9.72,135.68
0.185,46.69,56.04,0.46,-15.68,3.6,3.98,269.0
0.217,45.89,51.8,1.12,-22.26,2.11,8.35,163.39
0.252,46.91,57.77,2.76,-10.65,1.44,3.33,258.3
0.192,47.58,58.56,1.2,-0.32,3.62,3.51,209.44
0.208,56.01,44.96,0.96,-14.59,2.45,9.46,229.43
0.205,51.8,58.93,1.27,-7.85,1.67,8.5,165.63
0.18,49.56,40.55,0.53,-4.64,3.7,1.04,252.35
0.25,52.54,58.96,2.8,-14.46,1.44,4.78,179.36
0.234,50.0,44.99,1.05,-23.4,4.01,3.51,236.16
0.22,45.53,56.83,0.79,-21.98,4.12,3.05,134.91
0.253,51.42,41.25,1.72,-24.54,2.71,4.74,117.09
0.149,41.64,51.74,0.11,-6.71,2.47,3.37,290.21
0.167,40.45,52.54,0.15,-15.45,2.25,1.72,256.64
0.286,51.44,41.55,2.93,-22.23,2.97,1.27,181.16
0.242,49.83,57.13,2.06,-16.19,1.74,1.41,165.7
0.252,41.26,43.52,1.99,-19.96,2.5,1.06,282.54
0.267,56.82,41.89,2.09,-12.71,4.29,2.61,136.02
0.23,59.08,44.17,1.36,-20.82,2.3,3.97,221.54
0.239,50.58,59.14,2.44,-6.41,2.19,3.73,191.5
0.193,45.87,43.72,0.67,-15.52,2.34,9.47,221.01
0.155,57.4,41.97,0.21,-4.16,2.75,5.96,154.54
0.259,48.66,42.65,2.98,-11.26,1.4,8.66,186.02
0.216,52.7,43.15,1.25,-12.55,2.99,8.38,199.16
0.212,46.05,45.36,0.99,-13.19,2.06,1.28,139.85
0.209,51.56,45.41,1.06,-18.54,1.39,2.62,150.9
0.254,56.79,44.42,2.5,-6.42,4.9,7.78,123.02
0.201,58.8,56.84,1.39,-14.16,1.12,2.96,242.98
0.136,42.21,59.83,0.16,-0.23,2.18,5.15,209.09
0.16,45.79,44.41,0.25,-4.41,4.89,2.13,271.97
0.23,54.41,55.0,1.22,-23.56,3.76,9.66,231.75
0.168,44.68,50.73,0.45,-7.05,3.69,5.02,101.73
0.239,41.21,53.64,2.11,-10.62,1.91,6.97,121.1
0.238,52.55,51.45,1.13,-19.52,3.9,2.63,131.47
0.166,52.66,53.21,0.4,-18.44,1.39,9.22,101.68
0.211,47.02,43.14,1.45,-2.33,3.83,4.24,137.33
0.245,54.1,50.84,2.19,-23.88,1.69,3.88,193.31
0.23,51.39,51.24,1.67,-10.85,2.67,3.51,203.63
0.288,42.44,54.99,2.86,-23.65,4.13,3.01,167.28
0.24,40.67,59.38,1.73,-22.96,2.29,9.8,112.01
0.165,58.36,45.59,0.33,-9.38,4.58,4.3,169.32
0.172,45.25,46.22,0.3,-12.37,2.37,2.5,244.47
0.159,57.86,56.14,0.49,-2.16,2.64,9.23,116.73
0.254,59.68,41.93,2.26,-7.14,4.03,3.2,249.59
0.193,50.26,40.94,0.38,-17.99,4.39,4.83,154.81
0.215,50.7,46.6,0.99,-20.04,2.41,2.49,214.82
0.197,47.54,40.79,0.73,-13.04,2.11,8.94,111.65
0.267,52.96,57.22,2.77,-12.89,2.61,1.32,192.93
0.179,53.0,46.76,0.57,-13.23,1.65,6.02,191.4
0.247,59.9,43.26,1.94,-20.01,2.67,7.73,199.43
0.252,47.21,57.78,2.63,-15.44,1.38,4.09,137.32
0.257,54.9,52.77,1.56,-24.59,4.86,1.12,205.49
0.279,48.63,45.24,2.68,-16.42,3.26,2.18,110.49
0.173,56.8,42.58,0.49,-8.58,1.86,8.03,114.93
0.242,40.62,47.59,2.61,-21.64,1.02,5.34,189.78
0.237,48.76,44.6,2.16,-3.71,2.82,9.33,243.34
0.208,41.54,58.81,1.24,-9.29,1.7,5.69,144.1
0.288,53.1,46.12,2.99,-22.28,3.26,2.65,159.09
0.168,57.21,50.03,0.36,-6.78,2.78,1.74,196.91
0.214,48.91,51.68,1.36,-9.98,3.82,9.91,211.53
0.25,48.81,54.24,2.75,-24.42,1.14,9.8,209.2
0.18,41.04,53.21,0.38,-22.35,2.61,6.97,264.02
0.28,57.08,47.74,2.94,-21.51,3.68,3.08,241.65
0.166,49.39,40.61,0.23,-17.6,1.39,7.19,192.15
0.162,52.88,53.33,0.24,-14.64,3.73,9.13,289.2
0.279,47.65,51.53,2.81,-23.87,4.9,5.09,269.87
0.241,43.36,58.72,2.35,-8.68,1.69,4.94,217.14
0.258,48.04,57.86,1.7,-22.77,4.5,3.8,134.31
0.207,52.86,56.16,0.94,-12.82,4.87,4.98,174.61
0.265,51.01,54.14,1.97,-24.17,4.76,5.13,240.84
0.264,51.97,43.28,2.98,-5.32,3.69,3.43,138.29
0.197,41.79,51.15,0.71,-14.48,4.04,6.46,163.5
0.191,41.86,46.16,0.67,-11.37,2.69,4.23,177.27
0.196,48.16,48.52,1.05,-6.01,3.12,1.1,182.13
0.244,44.5,51.91,2.53,-6.42,1.49,5.5,193.1
