score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.398,32.18,30.54,2.9,-8.09,9.78,1.16,163.02
0.379,55.12,30.44,3.59,-6.02,5.49,2.07,282.38
0.397,55.7,30.01,3.16,-6.99,6.66,2.59,102.44
0.417,57.23,30.24,4.91,-8.51,3.08,7.34,238.27
0.417,47.16,32.32,4.89,-8.89,5.43,0.4,151.46
0.409,43.0,31.97,4.83,-8.47,8.9,5.3,129.04
0.372,36.91,32.45,4.77,-3.63,4.33,5.08,74.22
0.375,45.49,31.45,3.72,-6.43,8.5,4.19,220.42
0.412,31.85,30.21,3.98,-7.48,4.66,7.0,55.72
0.359,54.0,32.83,3.86,-5.57,8.23,0.24,237.65
