score,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.444,16.79,59.34,1.93,-14.32,7.84,1.84,114.36
0.431,16.79,33.74,1.93,-12.87,7.84,8.99,86.89
0.409,16.79,33.74,1.93,-12.87,1.42,1.84,86.89
0.442,16.79,33.74,1.93,-12.87,5.08,1.84,114.36
0.421,16.79,33.74,1.93,-7.37,7.84,1.84,114.36
0.442,23.11,33.74,1.93,-14.32,7.84,1.84,114.36
0.418,33.73,33.74,1.93,-12.87,7.84,1.84,114.36
0.4,16.79,33.74,1.93,-2.56,7.84,1.84,86.89
0.471,16.79,33.74,1.93,-14.32,8.58,1.84,86.89
0.432,16.79,33.74,1.93,-12.87,7.84,8.07,114.36
0.43,16.79,33.74,1.93,-12.87,7.84,9.67,86.89
0.451,16.79,33.74,1.93,-12.87,7.84,1.84,86.89
0.406,16.79,33.74,1.93,-3.32,7.84,1.84,86.89
0.463,16.79,33.74,1.93,-14.91,7.84,1.84,114.36
0.4,16.79,33.74,1.93,-3.0,7.84,1.84,114.36
0.398,16.79,33.74,1.93,-1.34,7.84,1.84,86.89
0.394,16.79,33.74,1.93,-0.05,7.84,1.84,114.36
0.449,16.79,39.49,1.93,-14.32,7.84,1.84,114.36
0.457,16.79,33.74,1.93,-12.87,8.9,1.84,86.89
0.417,16.79,33.74,1.93,-5.96,7.84,1.84,86.89
0.442,16.79,33.74,1.93,-12.87,7.84,4.99,86.89
0.446,16.79,46.63,1.93,-14.32,7.84,1.84,114.36
0.446,17.28,33.74,1.93,-12.87,7.84,1.84,114.36
0.471,16.79,33.74,1.93,-14.32,9.76,1.84,86.89
0.432,16.79,33.74,1.0,-12.87,7.84,1.84,86.89
0.464,16.79,33.74,1.93,-14.32,7.84,2.03,114.36
0.443,16.79,33.74,1.93,-12.87,4.31,1.84,114.36
0.416,16.79,33.74,0.68,-14.32,7.84,1.84,86.89
0.467,16.79,33.74,1.91,-14.32,7.84,1.84,114.36
0.433,16.79,33.74,1.93,-12.87,7.84,5.48,114.36
0.436,16.79,33.74,1.93,-12.87,7.84,5.28,114.36
0.452,16.79,33.74,1.75,-12.87,7.84,1.84,114.36
0.465,16.79,33.74,1.93,-14.32,9.27,1.84,114.36
0.442,16.79,33.74,1.93,-10.25,7.84,1.84,86.89
0.447,16.79,33.74,1.93,-14.32,7.84,1.84,250.12
0.471,16.79,33.56,1.93,-14.32,7.84,1.84,86.89
0.398,16.79,33.74,0.37,-12.87,7.84,1.84,86.89
0.447,16.79,33.74,1.93,-12.87,7.02,1.84,114.36
0.438,21.66,33.74,1.93,-12.87,7.84,1.84,86.89
0.463,16.79,33.74,1.93,-12.87,7.84,1.11,86.89
0.443,23.15,33.74,1.93,-14.32,7.84,1.84,114.36
0.413,54.74,33.74,1.93,-12.87,7.84,1.84,114.36
0.426,48.22,33.74,1.93,-14.32,7.84,1.84,86.89
0.443,16.79,49.93,1.93,-14.32,7.84,1.84,86.89
0.419,16.79,33.74,0.76,-12.87,7.84,1.84,86.89
0.428,16.79,33.74,1.21,-12.87,7.84,1.84,86.89
0.442,16.79,33.74,1.93,-14.32,7.84,7.21,114.36
0.432,23.01,33.74,1.93,-12.87,7.84,1.84,86.89
0.43,16.79,33.74,1.93,-12.87,2.78,1.84,114.36
0.446,16.79,33.74,1.93,-14.32,7.84,7.79,86.89
0.424,27.18,33.74,1.93,-12.87,7.84,1.84,114.36
0.46,16.79,33.74,1.93,-14.32,7.02,1.84,114.36
0.482,16.79,33.74,1.93,-14.32,7.84,0.21,114.36
0.472,16.79,33.74,1.93,-14.32,7.84,1.84,83.48
0.474,16.79,33.74,1.57,-14.32,7.84,0.21,114.36
0.43,16.79,33.74,1.93,-14.32,1.86,0.21,114.36
0.463,16.79,42.64,1.93,-14.32,7.84,0.21,114.36
0.423,16.79,33.74,0.7,-14.32,7.84,1.84,114.36
0.467,16.79,33.74,1.93,-14.32,7.84,1.84,98.83
0.494,16.79,33.74,1.93,-14.32,7.84,0.21,65.96
0.482,16.79,33.74,1.93,-14.32,9.86,0.21,114.36
0.455,16.79,33.74,1.93,-14.32,7.84,1.84,193.78
0.449,16.79,33.74,1.93,-14.32,5.08,1.84,83.48
0.408,16.79,33.74,0.43,-14.32,7.84,1.84,83.48
0.457,16.79,33.74,1.93,-14.32,7.84,1.84,194.48
0.471,16.79,48.73,1.93,-14.32,7.84,0.21,83.48
0.43,27.44,33.74,1.93,-14.32,7.84,1.84,114.36
0.444,16.79,33.74,0.29,-14.32,7.84,0.21,114.36
0.456,16.79,45.39,1.93,-14.32,7.84,1.84,83.48
0.44,56.05,33.74,1.93,-14.32,7.84,0.21,114.36
0.478,16.79,33.74,1.93,-14.32,7.84,0.21,123.44
0.459,16.79,33.74,1.93,-14.32,7.84,3.52,83.48
0.474,16.79,39.49,1.93,-14.32,7.84,0.21,83.48
0.464,16.79,37.9,1.93,-14.32,7.84,0.21,114.36
0.446,16.79,33.74,1.93,-14.32,7.84,5.96,83.48
0.417,16.79,33.74,1.93,-5.96,7.84,1.84,83.48
0.471,16.79,33.74,1.93,-14.32,7.84,0.21,147.05
0.474,16.79,33.74,1.93,-12.72,7.84,0.21,114.36
0.408,16.79,33.74,1.93,-2.83,7.84,0.21,114.36
0.396,16.79,33.74,1.93,-1.45,7.84,1.84,83.48
0.492,16.79,33.74,1.93,-14.32,7.84,0.21,83.48
0.446,16.79,33.74,1.93,-14.32,7.84,4.57,114.36
0.469,16.79,40.08,1.93,-14.32,7.84,0.21,114.36
0.459,16.79,33.74,1.93,-14.32,7.84,1.84,147.54
0.447,16.79,33.74,1.93,-14.32,7.84,5.28,83.48
0.446,16.79,33.74,1.93,-14.32,7.84,4.88,114.36
0.438,16.79,33.74,1.93,-14.32,2.75,1.84,83.48
0.429,43.75,33.74,1.93,-14.32,7.84,1.84,83.48
0.447,16.79,50.06,1.93,-14.32,7.84,1.84,83.48
0.444,16.79,33.74,1.93,-14.32,7.84,7.93,83.48
0.494,16.79,33.74,1.93,-14.32,7.86,0.21,83.48
0.44,16.79,55.23,1.93,-14.32,7.84,1.84,114.36
0.466,16.79,33.56,1.93,-14.32,7.84,1.84,114.36
0.404,16.79,33.74,0.37,-14.32,7.84,1.84,114.36
0.453,21.02,33.74,1.93,-14.32,7.84,0.21,114.36
0.485,16.79,33.74,1.93,-14.32,7.84,0.21,96.37
0.448,16.79,49.53,1.93,-14.32,7.84,1.84,114.36
0.445,16.79,33.74,1.93,-8.59,7.84,0.21,114.36
0.445,16.79,59.61,1.93,-14.32,7.84,1.84,83.48
0.442,21.66,33.74,1.93,-14.32,7.84,1.84,83.48
0.462,16.79,33.74,1.93,-14.32,7.84,1.84,153.41
0.456,16.79,33.74,1.93,-14.32,7.84,1.84,206.41
0.44,16.79,33.74,1.93,-8.32,7.84,0.21,114.36
0.46,16.79,48.31,1.93,-14.32,7.84,0.21,114.36
0.445,16.79,33.74,1.93,-12.08,7.84,1.84,83.48
0.446,16.79,33.74,1.93,-14.32,7.84,4.6,114.36
0.472,16.79,33.74,1.34,-14.32,7.84,0.21,83.48
0.463,16.79,50.71,1.93,-14.32,7.84,0.21,114.36
0.424,16.79,33.74,0.76,-14.32,7.84,1.84,83.48
0.449,16.79,55.44,1.93,-14.32,7.84,1.84,83.48
0.456,16.79,33.74,1.93,-14.32,7.84,1.84,236.1
0.457,16.79,33.74,1.93,-14.32,7.84,1.84,226.02
0.484,16.79,33.74,1.57,-14.32,7.84,0.21,83.48
0.475,16.79,42.64,1.93,-14.32,7.86,0.21,83.48
0.472,16.79,33.74,1.93,-14.32,7.84,0.21,136.51
0.45,53.84,33.74,1.93,-14.32,7.86,0.21,83.48
0.463,16.79,33.74,0.6,-14.32,7.84,0.21,65.96
0.485,16.79,33.74,1.18,-14.32,7.86,0.21,65.96
0.43,16.79,33.74,1.93,-6.11,7.86,0.21,83.48
0.487,19.08,33.74,1.93,-14.32,7.86,0.21,83.48
0.446,16.79,33.74,1.93,-7.37,7.84,0.21,65.96
0.444,16.79,33.74,1.93,-6.89,7.84,0.21,65.96
0.458,33.73,33.74,1.93,-14.32,7.86,0.21,65.96
0.472,16.79,33.74,1.93,-14.32,7.86,2.3,65.96
0.473,16.79,37.97,1.93,-14.32,7.86,0.21,83.48
0.476,16.79,45.39,1.93,-14.32,7.86,0.21,83.48
0.478,16.79,33.74,1.93,-12.87,7.84,0.21,65.96
0.464,16.79,33.74,0.82,-14.32,7.84,0.21,83.48
0.487,16.79,33.74,1.44,-14.32,7.86,0.21,83.48
0.485,16.79,33.74,1.93,-14.32,7.84,0.21,91.05
0.482,16.79,43.66,1.93,-14.32,7.86,0.21,65.96
0.392,16.79,33.74,1.93,-0.05,7.84,0.21,65.96
0.493,16.79,33.74,1.93,-14.32,8.9,0.21,83.48
0.468,16.79,33.74,0.74,-14.32,7.84,0.21,65.96
0.488,16.79,33.74,1.93,-14.32,5.89,0.21,65.96
0.487,16.79,33.74,1.93,-14.32,7.39,0.21,83.48
0.491,17.28,33.74,1.93,-14.32,7.86,0.21,83.48
0.437,16.79,33.74,1.93,-14.32,7.86,8.86,83.48
0.477,16.79,33.74,1.0,-14.32,7.86,0.21,65.96
0.475,16.79,33.74,1.93,-14.32,7.84,2.03,65.96
0.461,16.79,33.74,1.93,-14.32,7.84,3.41,83.48
0.452,30.62,33.74,1.93,-14.32,7.84,0.21,83.48
0.487,16.79,45.02,1.93,-14.32,7.84,0.21,65.96
0.493,16.79,33.74,1.75,-14.32,7.84,0.21,65.96
0.496,16.79,33.74,1.93,-14.32,9.27,0.21,83.48
0.433,16.79,33.74,1.93,-14.32,7.84,9.92,65.96
0.437,16.79,33.74,1.93,-14.32,7.84,7.93,65.96
0.492,16.79,33.74,1.74,-14.32,7.84,0.21,65.96
0.465,16.79,33.74,1.93,-14.32,7.86,0.21,250.12
0.47,16.79,33.74,1.93,-11.44,7.86,0.21,65.96
0.412,16.79,33.74,1.93,-14.32,1.37,0.21,83.48
0.49,16.79,33.74,1.93,-14.32,7.02,0.21,83.48
0.486,16.79,33.74,1.93,-14.32,6.41,0.21,83.48
0.44,16.79,33.74,1.93,-14.32,7.86,9.39,83.48
0.461,16.79,33.74,1.93,-14.32,7.84,0.21,261.21
0.42,16.79,33.74,1.93,-4.09,7.84,0.21,83.48
0.466,16.79,59.61,1.93,-14.32,7.86,0.21,83.48
