score,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum,Hiss,CL,Thre,Ratio,Attk,Release
0.342,42.24,59.87,0.81,-14.18,8.41,0.74,108.48,53.01,37.81,1.6,-12.21,1.43,7.26,141.33,15.67,42.32,1.44,-14.33,2.44,7.94,297.35,21.5,52.91,1.25,-9.38,4.5,7.62,282.62
0.306,15.24,32.63,0.24,-4.39,2.88,9.96,131.02,45.87,34.81,0.06,-6.22,3.86,6.58,291.57,26.2,43.48,0.52,-3.27,1.31,1.69,215.94,28.15,36.37,1.42,-5.32,6.41,6.78,160.72
0.278,28.87,40.02,1.77,-5.15,4.69,7.59,147.68,46.17,39.8,0.09,-4.25,8.75,3.74,297.88,22.69,47.09,0.65,-2.67,2.08,7.69,272.02,32.83,30.6,1.17,-5.24,1.88,1.83,67.92
0.291,58.6,50.9,0.35,-4.07,8.18,9.31,229.12,56.45,48.97,1.69,-12.08,6.08,8.22,97.03,50.27,39.26,1.25,-13.94,7.83,8.62,57.08,53.09,38.14,1.59,-1.53,2.67,4.05,56.73
0.293,49.75,53.28,1.64,-3.95,2.5,5.94,169.88,43.34,53.26,0.71,-12.67,1.53,7.46,237.59,23.26,47.7,1.55,-8.38,5.74,1.29,74.39,17.04,52.84,1.5,-6.21,8.31,7.8,65.98
0.324,44.62,41.55,1.7,-14.42,7.07,1.84,103.79,29.66,51.86,0.68,-11.83,3.53,3.93,209.46,17.87,56.75,1.43,-5.81,7.43,1.32,144.82,59.58,32.14,0.59,-0.76,7.22,1.29,274.85
0.314,41.07,51.52,1.68,-5.39,7.14,0.96,265.05,22.02,56.38,0.5,-9.89,9.79,0.45,245.68,50.25,58.35,0.75,-8.19,6.44,3.21,245.7,20.56,57.04,1.12,-0.44,3.94,1.55,274.84
0.292,38.53,40.08,1.23,-13.26,4.61,6.01,225.98,57.05,34.78,1.8,-6.12,1.61,6.21,189.2,22.73,51.71,0.99,-5.56,2.76,9.86,132.26,33.96,54.98,1.76,-3.4,4.76,3.14,294.05
0.291,51.12,32.1,1.74,-1.45,7.13,1.39,81.53,21.57,45.66,1.45,-3.76,8.32,2.9,239.47,51.73,58.64,1.35,-9.61,9.87,5.24,128.54,47.54,31.74,0.95,-5.9,3.58,3.74,157.95
0.279,32.79,49.19,0.3,-9.9,6.85,8.27,260.35,31.33,58.27,0.88,-5.29,1.42,3.16,184.08,50.34,34.99,1.66,-1.88,3.56,9.1,193.78,54.19,50.24,1.47,-14.78,5.8,1.96,113.89
0.325,19.0,47.86,1.73,-11.76,3.47,1.45,87.59,53.7,40.86,1.25,-11.94,8.67,8.02,267.81,43.92,39.31,1.14,-7.79,4.06,7.98,267.85,20.37,49.0,0.89,-5.4,9.22,9.13,257.52
0.336,37.94,40.84,1.98,-7.79,2.6,0.77,103.1,43.11,41.96,1.56,-14.48,8.98,0.66,106.47,42.17,38.88,0.15,-14.29,1.92,1.27,268.9,37.42,54.58,0.17,-13.7,3.37,4.66,183.02
0.261,58.48,38.41,0.21,-9.38,9.27,2.6,201.09,42.46,35.7,0.53,-6.69,8.71,6.91,249.76,24.32,49.88,0.1,-10.54,6.18,6.6,143.35,48.87,47.64,0.28,-7.09,2.15,3.93,282.6
0.293,42.81,46.52,1.03,-7.94,3.81,5.37,181.03,54.63,50.57,0.23,-6.69,7.92,1.48,53.18,20.0,36.52,1.15,-3.07,3.6,0.19,86.97,27.93,45.34,1.11,-12.88,5.07,4.22,182.88
0.29,40.89,31.02,0.49,-2.97,1.84,5.71,76.69,17.01,54.17,0.24,-9.48,7.98,7.6,223.16,49.17,36.89,0.17,-6.71,4.4,8.12,94.0,54.78,42.12,1.14,-2.49,6.87,0.27,169.98
0.279,51.44,45.13,1.9,-6.19,6.73,6.57,276.53,42.3,39.08,0.57,-2.58,1.73,2.52,298.16,38.24,36.95,0.54,-9.21,3.72,9.67,297.17,57.43,51.93,1.22,-10.26,5.85,8.28,126.2
0.285,47.4,46.62,1.32,-3.26,7.02,7.28,162.99,30.94,41.3,1.06,-10.57,7.28,7.53,230.82,58.88,59.24,1.58,-13.93,6.52,9.05,187.11,26.23,48.8,1.91,-0.91,1.41,7.5,265.26
0.258,42.53,37.78,0.7,-3.87,4.34,5.29,118.33,41.18,57.37,1.97,-2.33,1.33,2.56,119.66,53.07,42.96,1.76,-4.45,4.97,2.03,226.01,39.3,44.39,0.32,-13.68,3.29,3.73,163.94
0.241,22.47,49.53,0.34,-5.65,5.37,2.51,254.63,37.0,40.51,0.93,-2.96,8.68,9.6,108.41,34.44,54.36,0.55,-4.31,1.81,7.68,200.06,55.11,47.9,1.37,-2.58,8.35,5.88,164.81
0.352,54.35,32.73,1.47,-5.36,6.95,4.59,271.02,17.01,39.66,1.8,-9.34,7.08,8.55,223.01,36.19,48.57,1.86,-5.93,9.57,0.27,290.56,23.81,48.18,1.16,-9.97,2.98,1.95,168.71
0.263,51.79,42.23,1.64,-9.39,7.72,0.42,204.34,43.69,44.26,1.72,-3.79,5.53,4.1,172.54,51.28,51.61,1.45,-5.54,9.43,5.07,185.62,39.81,47.39,1.25,-0.42,1.94,7.1,129.17
0.278,46.31,47.76,0.19,-12.77,8.45,1.4,130.79,24.22,37.21,1.29,-0.07,3.71,9.45,222.3,48.31,39.53,1.97,-11.14,9.37,4.46,202.17,39.93,58.43,0.65,-1.8,4.92,5.52,164.81
0.342,51.83,36.22,1.33,-4.65,3.18,1.54,68.87,32.9,37.67,1.54,-11.84,1.73,0.82,156.33,19.98,32.13,1.24,-2.15,9.71,8.98,262.92,20.32,55.71,1.89,-7.02,3.66,1.01,133.29
0.311,55.56,30.89,0.17,-14.08,5.17,2.73,133.21,43.32,39.65,0.02,-13.66,3.15,3.26,113.44,35.0,39.86,1.14,-5.46,4.91,6.57,58.23,18.85,46.25,1.12,-3.0,3.63,9.29,221.95
0.281,49.84,32.11,1.31,-13.26,3.8,6.6,117.81,27.61,48.66,1.32,-1.04,6.92,3.68,254.93,49.69,47.94,0.27,-0.19,1.0,7.8,280.54,25.34,39.01,0.83,-1.73,4.76,5.19,251.96
0.312,32.52,45.31,0.74,-12.15,2.09,3.09,195.57,34.37,49.64,1.55,-12.63,5.07,0.71,278.34,30.99,41.48,0.0,-14.34,1.78,3.82,119.24,56.17,57.08,1.75,-11.56,6.77,5.8,201.88
0.29,53.26,31.39,0.84,-4.62,8.66,8.55,78.52,24.4,46.35,0.12,-0.4,1.86,1.32,101.41,44.4,54.26,1.67,-8.6,5.93,5.21,186.07,17.76,50.08,1.54,-3.94,3.91,5.04,84.34
0.29,56.02,41.13,1.61,-8.62,7.01,7.95,294.31,33.34,42.95,1.88,-0.73,5.76,9.65,215.71,24.51,33.66,1.52,-3.66,4.82,4.68,71.41,30.05,55.85,1.2,-6.61,7.4,7.71,255.42
0.33,29.79,45.13,1.22,-7.68,5.19,9.71,194.71,15.93,33.28,1.11,-2.8,4.33,6.31,122.52,40.79,47.1,1.76,-5.3,6.04,9.23,260.67,48.58,45.33,0.78,-8.23,9.7,0.85,138.91
0.354,47.12,45.45,0.32,-8.0,6.44,8.65,65.8,16.09,47.92,1.37,-10.51,6.19,8.75,274.59,36.42,31.07,1.04,-13.72,9.13,0.74,261.92,23.61,36.3,0.51,-5.64,9.58,2.06,211.27
0.395,25.69,43.03,1.9,-13.18,5.26,5.13,66.65,18.32,32.43,0.98,-0.32,2.64,8.59,172.39,15.81,41.52,1.15,-4.22,3.16,9.12,170.65,57.04,32.3,1.15,-11.57,3.82,4.07,206.55
0.301,43.96,56.21,0.36,-10.02,6.52,0.39,269.99,26.2,35.41,0.39,-0.77,4.49,1.27,167.72,58.58,31.19,0.72,-6.21,1.16,5.83,171.48,51.7,32.13,0.37,-14.67,5.16,8.02,145.6
0.34,49.5,49.32,0.18,-1.37,7.33,0.24,252.42,18.44,34.04,0.11,-8.07,1.18,3.78,143.69,43.16,43.85,1.79,-5.39,1.28,2.09,222.27,16.44,37.83,0.83,-14.2,9.33,3.55,200.8
0.308,50.37,38.65,0.69,-4.69,5.74,5.89,50.61,51.36,47.83,1.01,-4.94,7.57,0.28,134.86,40.1,30.35,1.37,-10.87,4.24,9.47,237.85,55.05,32.98,1.25,-10.62,6.17,9.93,86.87
0.298,43.68,50.1,0.26,-2.29,3.52,1.94,94.68,25.69,35.37,1.14,-13.01,2.06,1.18,205.92,19.57,40.78,0.56,-3.03,4.11,3.39,275.83,46.97,43.12,0.41,-5.38,4.24,4.43,249.31
0.337,57.33,43.03,1.85,-13.18,5.85,5.13,190.0,40.81,32.43,0.65,-5.5,2.64,0.35,282.46,44.68,32.9,1.15,-4.22,3.16,9.12,170.65,17.82,35.2,1.15,-5.49,4.37,4.07,122.25
0.389,57.33,43.03,1.9,-13.18,5.85,5.13,66.65,19.88,32.43,0.98,-5.5,2.64,0.35,282.46,15.81,42.18,1.15,-4.22,3.16,9.12,170.65,17.82,35.2,1.14,-5.49,3.82,4.07,206.55
0.39,25.69,32.26,1.9,-13.18,5.26,5.13,66.65,19.88,39.95,0.65,-5.5,6.22,0.35,282.46,44.68,32.9,0.77,-4.22,9.18,7.73,170.65,17.82,35.2,1.14,-11.57,3.82,3.17,206.55
0.402,57.33,43.03,1.85,-13.18,5.26,2.27,190.0,18.32,32.43,0.65,-0.32,6.22,0.35,282.46,15.81,41.52,1.48,-11.97,3.16,7.73,170.65,17.82,35.2,1.14,-11.57,3.82,3.17,122.25
0.372,25.69,43.03,1.85,-4.91,5.85,5.13,190.0,19.88,32.43,0.65,-0.32,2.64,0.35,172.39,15.81,41.52,1.12,-4.22,3.16,9.12,267.63,57.04,32.3,1.15,-11.57,4.37,4.07,268.26
0.386,25.69,32.26,1.9,-13.18,5.85,5.13,190.0,18.32,39.95,1.15,-5.5,2.64,8.59,172.39,15.81,41.52,1.12,-4.22,9.18,9.12,267.63,57.04,35.2,1.15,-5.49,4.37,3.17,206.55
0.413,57.33,32.26,1.85,-13.18,5.85,2.27,66.65,19.88,39.95,0.65,-5.5,6.22,0.35,172.39,15.81,41.52,1.15,-11.97,9.18,7.73,170.65,17.82,35.2,1.15,-8.36,4.37,4.07,122.25
0.371,57.33,43.03,1.9,-13.18,5.26,5.13,66.65,18.32,39.95,0.65,-5.5,6.22,8.59,282.46,15.81,32.9,1.12,-11.97,3.16,1.36,170.65,57.04,35.2,1.14,-5.49,4.37,4.07,206.55
0.383,57.33,32.26,1.85,-13.18,5.26,5.13,190.0,18.32,39.95,0.65,-5.5,6.22,8.59,140.58,15.81,41.52,1.12,-11.97,3.16,7.73,170.65,57.04,32.3,1.15,-11.57,3.82,4.07,206.55
0.323,57.33,32.26,1.9,-4.91,5.85,2.27,190.0,18.32,39.95,0.65,-0.32,6.22,0.35,282.46,44.68,41.52,1.12,-11.97,3.16,9.12,246.11,57.04,35.2,1.15,-11.57,4.37,3.17,206.55
